#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_QXDJ01000004.1    -         Sodium               RF03071    cm        1       55   191602   191658      +    no    1 0.37   0.0   66.8   2.5e-09 !   Clostridium chromiireducens strain C1 Scaffold4, whole genome shotgun sequence
NZ_JAKXDH010000003.1 -         Sodium               RF03071    cm        1       55    51652    51699      +    no    1 0.40   0.0   48.4   0.00013 !   Lactobacillus jensenii strain DZD_CM_38_S806-bin_1 BOFLNEOL_3, whole genome shotgun sequence
NZ_FRFD01000003.1    -         Sodium               RF03071    cm        1       55    15198    15142      -    no    1 0.42   0.0   48.3   0.00013 !   Anaerocolumna xylanovorans DSM 12503, whole genome shotgun sequence
NZ_CP038865.1        -         Sodium               RF03071    cm        1       55  1399417  1399367      -    no    1 0.45   0.0   48.1   0.00015 !   Vagococcus xieshaowenii strain CF-49 chromosome, complete genome
NZ_JPNB01000001.1    -         Sodium               RF03071    cm        1       55  1060497  1060445      -    no    1 0.40   0.0   47.9   0.00017 !   Kineothrix alysoides strain KNHs209 CC90DRAFT_scf7180000000010_quiver.1_C, whole genome shotgun sequence
NZ_JQNF01000005.1    -         Sodium               RF03071    cm        1       55   404511   404558      +    no    1 0.42   0.0   47.8   0.00018 !   Carnobacterium jeotgali MS3 BP18DRAFT_scf7180000000062_quiver.2_C, whole genome shotgun sequence
NC_022369.1          -         Sodium               RF03071    cm        1       55   615273   615317      +    no    1 0.51   0.0   47.8   0.00018 !   Lactococcus lactis subsp. cremoris KW2, complete sequence
NZ_NPNG01000006.1    -         Sodium               RF03071    cm        1       55    69914    69866      -    no    1 0.41   0.0   47.8   0.00018 !   Lactobacillus bombicola strain H70-3 scaffold6, whole genome shotgun sequence
NZ_CAJSYX010000004.1 -         Sodium               RF03071    cm        1       55   106993   106945      -    no    1 0.43   0.0   47.7   0.00019 !   Lactobacillus intestinalis isolate 9.LIYmh, whole genome shotgun sequence
NZ_AUCD01000018.1    -         Sodium               RF03071    cm        1       55     9282     9236      -    no    1 0.51   0.0   47.7   0.00019 !   Atopococcus tabaci DSM 17538 G470DRAFT_scaffold00017.17_C, whole genome shotgun sequence
NZ_FNFK01000005.1    -         Sodium               RF03071    cm        1       55    47467    47513      +    no    1 0.47   0.0   47.4   0.00022 !   Alkalibacterium thalassium strain DSM 19181, whole genome shotgun sequence
NZ_BJYC01000003.1    -         Sodium               RF03071    cm        1       55   124574   124620      +    no    1 0.47   0.0   47.4   0.00022 !   Alkalibacterium pelagium strain NBRC 103242 sequence03, whole genome shotgun sequence
NZ_QFGA01000001.1    -         Sodium               RF03071    cm        1       55  1701128  1701069      -    no    1 0.55   0.0   47.2   0.00025 !   Pelotomaculum schinkii strain HH Psch_contig000001, whole genome shotgun sequence
NZ_JAEEGC010000095.1 -         Sodium               RF03071    cm        1       55     6923     6976      +    no    1 0.39   0.0   47.2   0.00026 !   Clostridium thailandense strain PL3 NG-25456_PL3_lib407054_6879_1_1_contig_95, whole genome shotgun sequence
NZ_NGJU01000014.1    -         Sodium               RF03071    cm        1       55    18051    18100      +    no    1 0.46   0.0   47.2   0.00026 !   Vagococcus salmoninarum strain NCFB 2777 14, whole genome shotgun sequence
NZ_CP059048.1        -         Sodium               RF03071    cm        1       55   582489   582532      +    no    1 0.52   0.0   47.1   0.00028 !   Lactococcus lactis strain LAC460 chromosome, complete genome
NZ_JXKD01000020.1    -         Sodium               RF03071    cm        1       55    10110    10062      -    no    1 0.43   0.0   46.9   0.00031 !   Enterococcus aquimarinus strain DSM 17690 Scaffold20, whole genome shotgun sequence
NZ_FNJW01000008.1    -         Sodium               RF03071    cm        1       55   116388   116435      +    no    1 0.44   0.0   46.7   0.00034 !   Carnobacterium viridans strain MPL-11, whole genome shotgun sequence
NZ_JQIV01000006.1    -         Sodium               RF03071    cm        1       55   189020   189067      +    no    1 0.44   0.0   46.7   0.00034 !   Carnobacterium inhibens subsp. inhibens DSM 13024 strain K1 BR65DRAFT_scf7180000000016_quiver.6_C, whole genome shotgun sequence
NZ_JQLU01000004.1    -         Sodium               RF03071    cm        1       55   108261   108306      +    no    1 0.52   0.0   46.6   0.00036 !   Carnobacterium gallinarum DSM 4847 strain MT44 BR43DRAFT_scf7180000000013_quiver.4_C, whole genome shotgun sequence
NZ_AZFM01000033.1    -         Sodium               RF03071    cm        1       55     8060     8010      -    no    1 0.37   0.0   46.6   0.00036 !   Lactobacillus kalixensis DSM 16043 Scaffold33, whole genome shotgun sequence
NZ_FWXH01000010.1    -         Sodium               RF03071    cm        1       55    60366    60427      +    no    1 0.44   0.0   46.6   0.00037 !   Clostridium acidisoli DSM 12555, whole genome shotgun sequence
NZ_CP015756.1        -         Sodium               RF03071    cm        1       55   352434   352489      +    no    1 0.39   0.0   46.4   0.00041 !   Clostridium estertheticum subsp. estertheticum strain DSM 8809 chromosome, complete genome
NZ_JAEEGC010000026.1 -         Sodium               RF03071    cm        1       55   100879   100824      -    no    1 0.39   0.0   46.4   0.00042 !   Clostridium thailandense strain PL3 NG-25456_PL3_lib407054_6879_1_1_contig_26, whole genome shotgun sequence
NZ_KB946329.1        -         Sodium               RF03071    cm        1       55   383799   383751      -    no    1 0.49   0.0   46.3   0.00044 !   Enterococcus phoeniculicola ATCC BAA-412 acvKl-supercont1.7, whole genome shotgun sequence
NZ_CP023074.1        -         Sodium               RF03071    cm        1       55   575928   575976      +    no    1 0.49   0.0   46.3   0.00044 !   Enterococcus thailandicus strain a523 chromosome, complete genome
NZ_JADNIV010000010.1 -         Sodium               RF03071    cm        1       55    60527    60464      -    no    1 0.44   0.0   46.2   0.00045 !   Clostridium jeddahense strain 1001270B_150601_B10 NODE_10_length_149690_cov_50.3034, whole genome shotgun sequence
NZ_NGJZ01000001.1    -         Sodium               RF03071    cm        1       55   926677   926632      -    no    1 0.54   0.0   46.1   0.00048 !   Vagococcus entomophilus strain DSM 24756 1, whole genome shotgun sequence
NZ_LT860099.1        -         Sodium               RF03071    cm        1       55  1447635  1447584      -    no    1 0.40   0.0   46.0   0.00051 !   Konateibacter massiliensis strain Marseille-P3773, whole genome shotgun sequence
NZ_JAHLDV010000002.1 -         Sodium               RF03071    cm        1       55    45853    45911      +    no    1 0.36   0.0   45.9   0.00054 !   Clostridium frigoris strain DSM 14204 contig00002, whole genome shotgun sequence
NZ_JXLB01000005.1    -         Sodium               RF03071    cm        1       55    33492    33445      -    no    1 0.48   0.0   45.8   0.00057 !   Enterococcus ratti strain DSM 15687 Scaffold5, whole genome shotgun sequence
NZ_FQZB01000005.1    -         Sodium               RF03071    cm        1       55     2381     2433      +    no    1 0.34   0.0   45.8   0.00058 !   Clostridium cavendishii DSM 21758, whole genome shotgun sequence
NZ_KB946335.1        -         Sodium               RF03071    cm        1       55    29206    29253      +    no    1 0.48   0.0   45.7    0.0006 !   Enterococcus caccae ATCC BAA-1240 acvJM-supercont1.4, whole genome shotgun sequence
NZ_JXKT01000054.1    -         Sodium               RF03071    cm        1       55     4652     4607      -    no    1 0.52   0.0   45.7   0.00061 !   Enterococcus italicus DSM 15952 Scaffold54, whole genome shotgun sequence
NZ_CP027783.1        -         Sodium               RF03071    cm        1       55  1993160  1993115      -    no    1 0.50   0.0   45.6   0.00064 !   Tetragenococcus osmophilus strain JCM 31126 chromosome, complete genome
NZ_JMLK01000015.1    -         Sodium               RF03071    cm        1       55    61967    62027      +    no    1 0.49   0.0   45.5   0.00071 !   Clostridium akagii DSM 12554 BR66DRAFT_scaffold00011.11_C, whole genome shotgun sequence
NZ_FXBJ01000002.1    -         Sodium               RF03071    cm        1       55  2145827  2145781      -    no    1 0.47   0.0   45.4   0.00075 !   Carnobacterium iners strain LMG26642, whole genome shotgun sequence
NZ_CP060720.1        -         Sodium               RF03071    cm        1       55  2974224  2974179      -    no    1 0.46   0.0   45.3   0.00077 !   Vagococcus carniphilus strain ATCC BAA-640 chromosome, complete genome
NZ_AP023368.1        -         Sodium               RF03071    cm        1       55  4403672  4403623      -    no    1 0.42   0.0   45.3   0.00079 !   Anaerocolumna chitinilytica strain CTTW chromosome, complete genome
NZ_SDGV01000001.1    -         Sodium               RF03071    cm        1       55   194409   194364      -    no    1 0.43   0.0   45.2   0.00081 !   Vagococcus silagei strain 2B-2 contig_1, whole genome shotgun sequence
NZ_JAFBFD010000028.1 -         Sodium               RF03071    cm        1       55    19848    19801      -    no    1 0.44   0.0   45.2   0.00083 !   Enterococcus lemanii strain DSM 105069 Ga0454082_28, whole genome shotgun sequence
NZ_MIEK01000067.1    -         Sodium               RF03071    cm        1       55    91209    91256      +    no    1 0.48   0.0   45.2   0.00083 !   Enterococcus rivorum strain LMG 25899 7, whole genome shotgun sequence
NZ_BMAY01000002.1    -         Sodium               RF03071    cm        1       55   117398   117445      +    no    1 0.44   0.0   44.9     0.001 !   Lactobacillus corticis strain B40 sequence002, whole genome shotgun sequence
NZ_NBSL01000002.1    -         Sodium               RF03071    cm        1       55  1544123  1544076      -    no    1 0.50   0.0   44.7    0.0011 !   Enterococcus avium strain FDAARGOS_182 scf7180000000006_trim_quiver_pilon, whole genome shotgun sequence
NZ_UFXU01000001.1    -         Sodium               RF03071    cm        1       55   753454   753501      +    no    1 0.50   0.0   44.7    0.0011 !   Enterococcus malodoratus strain NCTC12365, whole genome shotgun sequence
NZ_CP030932.1        -         Sodium               RF03071    cm        1       55   734655   734702      +    no    1 0.50   0.0   44.7    0.0011 !   Enterococcus gilvus strain CR1 chromosome, complete genome
NZ_JAHLOV010000002.1 -         Sodium               RF03071    cm        1       55   124527   124574      +    no    1 0.50   0.0   44.7    0.0011 !   Enterococcus devriesei strain N6 No6_ctg002, whole genome shotgun sequence
NZ_BJDQ01000004.1    -         Sodium               RF03071    cm        1       55    89338    89291      -    no    1 0.50   0.0   44.7    0.0011 !   Enterococcus dongliensis strain 63-4 contig4, whole genome shotgun sequence
NZ_CP045664.1        -         Sodium               RF03071    cm        1       55   874282   874330      +    no    1 0.37   0.0   44.7    0.0011 !   Lactobacillus iners strain LI335 chromosome
NZ_KB944666.1        -         Sodium               RF03071    cm        1       55  1561904  1561951      +    no    1 0.48   0.0   44.7    0.0011 !   Enterococcus faecalis EnGen0336 strain T5 acAro-supercont1.1, whole genome shotgun sequence
NZ_CP081461.1        -         Sodium               RF03071    cm        1       55   568941   568986      +    no    1 0.46   0.0   44.7    0.0011 !   Vagococcus fluvialis strain 36B2 chromosome, complete genome
NZ_CP046996.1        -         Sodium               RF03071    cm        1       55  1041672  1041618      -    no    1 0.53   0.0   44.6    0.0012 !   Dehalobacter restrictus strain 12DCA chromosome, complete genome
NZ_FRAC01000007.1    -         Sodium               RF03071    cm        1       55    19875    19926      +    no    1 0.48   0.0   44.5    0.0012 !   Anaerocolumna jejuensis DSM 15929, whole genome shotgun sequence
NZ_CP012047.1        -         Sodium               RF03071    cm        1       55  1130194  1130149      -    no    1 0.50   0.0   44.4    0.0013 !   Tetragenococcus halophilus strain MJ4 chromosome, complete genome
NZ_OAOG01000010.1    -         Sodium               RF03071    cm        1       55    26563    26511      -    no    1 0.36   0.0   44.4    0.0013 !   Anaerocolumna aminovalerica isolate src1, whole genome shotgun sequence
NZ_CP040938.1        -         Sodium               RF03071    cm        1       55  1576202  1576156      -    no    1 0.55   0.0   44.3    0.0014 !   Dolosigranulum pigrum strain KPL1914 chromosome
NZ_QFFZ01000015.1    -         Sodium               RF03071    cm        1       55    25988    25932      -    no    1 0.51   0.0   44.2    0.0015 !   Pelotomaculum propionicicum strain MGP Pmgp_15, whole genome shotgun sequence
NZ_MIKC01000010.1    -         Sodium               RF03071    cm        1       55     9868     9915      +    no    1 0.50   0.0   44.2    0.0015 !   Enterococcus ureilyticus strain LMG 26676 18, whole genome shotgun sequence
NZ_CP038996.1        -         Sodium               RF03071    cm        1       55  1919207  1919160      -    no    1 0.50   0.0   44.2    0.0015 !   Enterococcus faecium strain SRR24 chromosome, complete genome
NZ_CP079880.1        -         Sodium               RF03071    cm        1       55   736307   736354      +    no    1 0.50   0.0   44.2    0.0015 !   Enterococcus lactis strain CX 2-6_2 chromosome, complete genome
NZ_JXKT01000024.1    -         Sodium               RF03071    cm        1       55    11628    11581      -    no    1 0.50   0.0   44.2    0.0015 !   Enterococcus italicus DSM 15952 Scaffold24, whole genome shotgun sequence
NZ_CP018888.1        -         Sodium               RF03071    cm        1       55   796441   796389      -    no    1 0.49   0.0   44.1    0.0015 !   Amylolactobacillus amylophilus DSM 20533 = JCM 1125 strain DSM 20533 chromosome, complete genome
NZ_AZCV01000004.1    -         Sodium               RF03071    cm        1       55    52106    52054      -    no    1 0.49   0.0   44.1    0.0015 !   Amylolactobacillus amylotrophicus DSM 20534 Scaffold4, whole genome shotgun sequence
NZ_CP022930.1        -         Sodium               RF03071    cm        1       55   288746   288699      -    no    1 0.50   0.0   44.1    0.0016 !   Enterococcus durans strain BDGP3 chromosome, complete genome
NZ_CP018061.1        -         Sodium               RF03071    cm        1       55  2127269  2127222      -    no    1 0.50   0.0   44.1    0.0016 !   Enterococcus mundtii strain DSM 4838 chromosome, complete genome
NZ_JQMR01000001.1    -         Sodium               RF03071    cm        1       55   699713   699667      -    no    1 0.49   0.0   44.0    0.0017 !   Carnobacterium mobile DSM 4848 strain MT37L BR87DRAFT_scf7180000000018_quiver_dupTrim_8950.1_C, whole genome shotgun sequence
NZ_JXKQ01000011.1    -         Sodium               RF03071    cm        1       55    14112    14159      +    no    1 0.50   0.0   44.0    0.0017 !   Enterococcus hermanniensis strain DSM 17122 Scaffold11, whole genome shotgun sequence
NZ_KB946318.1        -         Sodium               RF03071    cm        1       55  1445295  1445248      -    no    1 0.50   0.0   44.0    0.0017 !   Enterococcus moraviensis ATCC BAA-383 acvIC-supercont1.2, whole genome shotgun sequence
NZ_BCQF01000029.1    -         Sodium               RF03071    cm        1       55     2580     2627      +    no    1 0.50   0.0   44.0    0.0017 !   Enterococcus pseudoavium NBRC 100491, whole genome shotgun sequence
NZ_JAHLEB010000001.1 -         Sodium               RF03071    cm        1       55     8994     9052      +    no    1 0.42   0.0   44.0    0.0017 !   Clostridium lacusfryxellense strain DSM 14205 contig00001, whole genome shotgun sequence
NZ_KZ846567.1        -         Sodium               RF03071    cm        1       55  2040456  2040405      -    no    1 0.50   0.0   43.9    0.0018 !   Enterococcus gallinarum strain 298EA1 aekeE-supercont-complete, whole genome shotgun sequence
NZ_JQLL01000001.1    -         Sodium               RF03071    cm        1       55   665868   665822      -    no    1 0.49   0.0   43.9    0.0018 !   Carnobacterium funditum DSM 5970 strain pf3 BR44DRAFT_scf7180000000006_quiver_dupTrim_9421.1_C, whole genome shotgun sequence
NZ_KE136487.1        -         Sodium               RF03071    cm        1       55   114291   114338      +    no    1 0.50   0.0   43.8    0.0019 !   Enterococcus villorum ATCC 700913 acOto-supercont2.1, whole genome shotgun sequence
NZ_CP027786.1        -         Sodium               RF03071    cm        1       55   452626   452670      +    no    1 0.47   0.0   43.8    0.0019 !   Tetragenococcus koreensis strain KCTC 3924 chromosome, complete genome
NZ_AP023368.1        -         Sodium               RF03071    cm        1       55  1263236  1263284      +    no    1 0.49   0.0   43.8    0.0019 !   Anaerocolumna chitinilytica strain CTTW chromosome, complete genome
NZ_RHOT01000007.1    -         Sodium               RF03071    cm        1       55      155      200      +    no    1 0.50   0.0   43.7     0.002 !   Lapidilactobacillus gannanensis strain 143-1 contig7, whole genome shotgun sequence
NZ_CP017634.1        -         Sodium               RF03071    cm        1       55  2741669  2741726      +    no    1 0.55   0.0   43.6    0.0021 !   Candidatus Formimonas warabiya strain DCMF chromosome, complete genome
NZ_CP023011.2        -         Sodium               RF03071    cm        1       55  1393902  1393950      +    no    1 0.49   0.0   43.6    0.0021 !   Enterococcus hirae strain FDAARGOS_234 chromosome, complete genome
NZ_ASWO01000007.1    -         Sodium               RF03071    cm        1       55   203916   203872      -    no    1 0.51   0.0   43.6    0.0022 !   Enterococcus sulfureus ATCC 49903 acyDF-supercont2.7, whole genome shotgun sequence
NZ_CP021874.1        -         Sodium               RF03071    cm        1       55   958287   958240      -    no    1 0.50   0.0   43.5    0.0023 !   Enterococcus wangshanyuanii strain MN05 chromosome, complete genome
NZ_MIJZ01000001.1    -         Sodium               RF03071    cm        1       55    43513    43560      +    no    1 0.50   0.0   43.5    0.0023 !   Enterococcus ureasiticus strain DSM 23328 1, whole genome shotgun sequence
NZ_MIKA01000034.1    -         Sodium               RF03071    cm        1       55     7769     7816      +    no    1 0.50   0.0   43.5    0.0023 !   Enterococcus plantarum strain LMG 26214 4, whole genome shotgun sequence
NZ_KB946300.1        -         Sodium               RF03071    cm        1       55   972466   972512      +    no    1 0.51   0.0   43.5    0.0023 !   Enterococcus pallens ATCC BAA-351 acvKb-supercont1.1, whole genome shotgun sequence
NZ_CP039712.1        -         Sodium               RF03071    cm        1       55  2107023  2106977      -    no    1 0.40   0.0   43.4    0.0024 !   Vagococcus zengguangii strain MN-17 chromosome, complete genome
NZ_LFVU01000028.1    -         Sodium               RF03071    cm        1       55   369282   369335      +    no    1 0.39   0.0   43.4    0.0024 !   Clostridium cylindrosporum DSM 605 CLCY_1c, whole genome shotgun sequence
NZ_FRFD01000004.1    -         Sodium               RF03071    cm        1       55    48087    48036      -    no    1 0.50   0.0   43.4    0.0024 !   Anaerocolumna xylanovorans DSM 12503, whole genome shotgun sequence
NZ_CP049886.1        -         Sodium               RF03071    cm        1       55   783583   783631      +    no    1 0.45   0.0   43.0    0.0031 !   Vagococcus coleopterorum strain HDW17A chromosome, complete genome
NZ_QFGA01000001.1    -         Sodium               RF03071    cm        1       55  1798192  1798250      +    no    1 0.54   0.0   42.8    0.0034 !   Pelotomaculum schinkii strain HH Psch_contig000001, whole genome shotgun sequence
NZ_RHOF01000003.1    -         Sodium               RF03071    cm        1       55     9061     9013      -    no    1 0.53   0.0   42.8    0.0034 !   Loigolactobacillus jiayinensis strain 257-1 contig3, whole genome shotgun sequence
NZ_JHWJ01000005.1    -         Sodium               RF03071    cm        1       55   271946   271882      -    no    1 0.37   0.1   42.8    0.0035 !   [Clostridium] aerotolerans DSM 5434 T546DRAFT_scaffold00005.5_C, whole genome shotgun sequence
NZ_LSRS01000003.1    -         Sodium               RF03071    cm        1       55   434351   434302      -    no    1 0.52   0.0   42.7    0.0036 !   Sporotomaculum syntrophicum strain FB SPSYN_contig000003, whole genome shotgun sequence
NZ_MCIA01000034.1    -         Sodium               RF03071    cm        1       55   112944   112880      -    no    1 0.38   0.4   42.7    0.0037 !   Lacrimispora algidixylanolytica strain SPL73 contig_8, whole genome shotgun sequence
NZ_CP013655.1        -         Sodium               RF03071    cm        1       55  2767390  2767437      +    no    1 0.50   0.0   42.5    0.0042 !   Enterococcus rotai strain LMG 26678 chromosome
NZ_JXLC01000020.1    -         Sodium               RF03071    cm        1       55    47046    46999      -    no    1 0.52   0.0   42.4    0.0042 !   Enterococcus silesiacus strain DSM 22801 Scaffold20, whole genome shotgun sequence
NZ_JXLF01000026.1    -         Sodium               RF03071    cm        1       55    12721    12674      -    no    1 0.52   0.0   42.4    0.0042 !   Enterococcus termitis strain DSM 22803 Scaffold26, whole genome shotgun sequence
NZ_MIKB01000002.1    -         Sodium               RF03071    cm        1       55    58258    58211      -    no    1 0.52   0.0   42.4    0.0042 !   Enterococcus quebecensis strain LMG 26306 10, whole genome shotgun sequence
NZ_KB946314.1        -         Sodium               RF03071    cm        1       55    54090    54137      +    no    1 0.52   0.0   42.4    0.0042 !   Enterococcus haemoperoxidus ATCC BAA-382 acvJN-supercont1.1, whole genome shotgun sequence
NZ_AYPQ01000001.1    -         Sodium               RF03071    cm        1       55   952215   952168      -    no    1 0.52   0.0   42.4    0.0042 !   Enterococcus crotali strain ETRF1 Contig_43, whole genome shotgun sequence
NZ_AP025635.1        -         Sodium               RF03071    cm        1       55   699152   699100      -    no    1 0.47   0.0   42.3    0.0045 !   Enterococcus innesii strain DB-1 chromosome, complete genome
NZ_BJCC01000001.1    -         Sodium               RF03071    cm        1       55   113671   113624      -    no    1 0.52   0.0   42.3    0.0045 !   Enterococcus florum strain Gos25-1 sequence01, whole genome shotgun sequence
NZ_RHOU01000017.1    -         Sodium               RF03071    cm        1       55    35453    35498      +    no    1 0.50   0.0   42.3    0.0045 !   Lapidilactobacillus wuchangensis strain 17-4 contig17, whole genome shotgun sequence
NZ_BCQJ01000003.1    -         Sodium               RF03071    cm        1       55   335215   335167      -    no    1 0.51   0.0   42.3    0.0046 !   Enterococcus canis NBRC 100695, whole genome shotgun sequence
NZ_CP021850.1        -         Sodium               RF03071    cm        1       55  2272163  2272108      -    no    1 0.45   0.0   42.3    0.0046 !   Pseudoclostridium thermosuccinogenes strain DSM 5807 chromosome, complete genome
NZ_FZLO01000002.1    -         Sodium               RF03071    cm        1       55   412610   412549      -    no    1 0.45   0.0   42.3    0.0046 !   Scatolibacter rhodanostii strain Marseille-P3890, whole genome shotgun sequence
NZ_FZLO01000005.1    -         Sodium               RF03071    cm        1       55   187909   187969      +    no    1 0.41   0.0   42.3    0.0046 !   Scatolibacter rhodanostii strain Marseille-P3890, whole genome shotgun sequence
NZ_JAHUZB010000001.1 -         Sodium               RF03071    cm        1       55   517509   517557      +    no    1 0.49   0.0   42.2    0.0048 !   Enterococcus alishanensis strain ALS3 NODE_1_length_762141_cov_249.121, whole genome shotgun sequence
NZ_JQLQ01000002.1    -         Sodium               RF03071    cm        1       55  1661960  1661912      -    no    1 0.43   0.0   42.2    0.0049 !   Carnobacterium pleistocenium FTR1 BP17DRAFT_scf7180000000008_quiver_dupTrim_9589.2_C, whole genome shotgun sequence
NZ_FQYT01000012.1    -         Sodium               RF03071    cm        1       55    77543    77489      -    no    1 0.49   0.0   42.1    0.0053 !   Parasporobacterium paucivorans DSM 15970, whole genome shotgun sequence
NZ_PHUA01000001.1    -         Sodium               RF03071    cm        1       55   528234   528184      -    no    1 0.51   0.0   42.0    0.0056 !   Bifidobacterium psychraerophilum DSM 22366 Ga0074744_11, whole genome shotgun sequence
NZ_CP061336.1        -         Sodium               RF03071    cm        1       55  1232571  1232506      -    no    1 0.41   0.0   42.0    0.0056 !   Ruminiclostridium herbifermentans strain MA18 chromosome, complete genome
NZ_NGJY01000004.1    -         Sodium               RF03071    cm        1       55    97991    98039      +    no    1 0.47   0.0   41.9    0.0056 !   Vagococcus fessus strain CCUG 41755 4, whole genome shotgun sequence
NC_020995.1          -         Sodium               RF03071    cm        1       55  1151010  1151063      +    no    1 0.46   0.0   41.8    0.0063 !   Enterococcus casseliflavus EC20, complete sequence
NZ_RHOG01000005.1    -         Sodium               RF03071    cm        1       55    90085    90128      +    no    1 0.57   0.0   41.7    0.0064 !   Lacticaseibacillus yichunensis strain 33-1 contig5, whole genome shotgun sequence
NZ_BOLR01000001.1    -         Sodium               RF03071    cm        1       55    69718    69761      +    no    1 0.57   0.0   41.7    0.0064 !   Lacticaseibacillus mingshuiensis strain 61-2 contig1, whole genome shotgun sequence
NZ_AUIQ01000001.1    -         Sodium               RF03071    cm        1       55   128234   128279      +    no    1 0.52   0.0   41.6    0.0068 !   Tetragenococcus muriaticus DSM 15685 G577DRAFT_scaffold00001.1_C, whole genome shotgun sequence
NZ_CP072888.1        -         Sodium               RF03071    cm        1       55  1209665  1209712      +    no    1 0.52   0.0   41.5    0.0075 !   Enterococcus raffinosus strain F162_2 chromosome, complete genome
NZ_JAFLVW010000014.1 -         Sodium               RF03071    cm        1       55    76841    76888      +    no    1 0.52   0.0   41.5    0.0075 !   Enterococcus hulanensis strain DIV0645b scaffold4.14, whole genome shotgun sequence
NZ_BJDX01000003.1    -         Sodium               RF03071    cm        1       55    86761    86808      +    no    1 0.54   0.0   41.5    0.0075 !   Enterococcus xiangfangensis strain 11097 contig3, whole genome shotgun sequence
NZ_BJDP01000006.1    -         Sodium               RF03071    cm        1       55    88032    88079      +    no    1 0.54   0.0   41.5    0.0075 !   Enterococcus pingfangensis strain 241-2-2 contig6, whole genome shotgun sequence
NZ_AYZO01000006.1    -         Sodium               RF03071    cm        1       55    58064    58015      -    no    1 0.50   0.0   41.4    0.0079 !   Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85 strain DSM 23908 Scaffold6, whole genome shotgun sequence
NZ_BMDT01000001.1    -         Sodium               RF03071    cm        1       55   447725   447773      +    no    1 0.43   0.0   41.4    0.0079 !   Enterococcus alcedinis strain CCM 8433 sequence01, whole genome shotgun sequence
NZ_RHOV01000011.1    -         Sodium               RF03071    cm        1       55    39620    39665      +    no    1 0.48   0.0   41.2     0.009 !   Lapidilactobacillus achengensis strain 247-4 contig11, whole genome shotgun sequence
NZ_JQBR01000002.1    -         Sodium               RF03071    cm        1       55    55930    55977      +    no    1 0.50   0.0   41.0    0.0096 !   Pediococcus cellicola strain DSM 17757 Scaffold2, whole genome shotgun sequence
NZ_UWOP01000001.1    -         Sodium               RF03071    cm        1       55    11633    11681      +    no    1 0.45   0.0   40.8     0.011 ?   Enterococcus mediterraneensis strain Marseille-P4358, whole genome shotgun sequence
NZ_QRAJ01000003.1    -         Sodium               RF03071    cm        1       55   107568   107618      +    no    1 0.53   0.0   40.3     0.015 ?   Bifidobacterium mongoliense strain BMONG18 Contig_3, whole genome shotgun sequence
NZ_CP081461.1        -         Sodium               RF03071    cm        1       55   643077   643033      -    no    1 0.56   0.0   40.3     0.015 ?   Vagococcus fluvialis strain 36B2 chromosome, complete genome
NZ_JQBY01000002.1    -         Sodium               RF03071    cm        1       55    45628    45675      +    no    1 0.48   0.0   40.1     0.017 ?   Pediococcus ethanolidurans strain DSM 22301 Scaffold2, whole genome shotgun sequence
NZ_LS483306.1        -         Sodium               RF03071    cm        1       55  1901118  1901071      -    no    1 0.50   0.0   39.9     0.019 ?   Enterococcus cecorum strain NCTC12421 chromosome 1, complete sequence
NZ_KE136494.1        -         Sodium               RF03071    cm        1       55   180196   180149      -    no    1 0.50   0.0   39.8      0.02 ?   Enterococcus columbae DSM 7374 = ATCC 51263 acyDG-supercont2.4, whole genome shotgun sequence
NZ_CVRN01000007.1    -         Sodium               RF03071    cm        1       55  1241352  1241304      -    no    1 0.43   0.0   39.8      0.02 ?   Enterococcus massiliensis strain AM1, whole genome shotgun sequence
NZ_BJDS01000024.1    -         Sodium               RF03071    cm        1       55    14753    14705      -    no    1 0.43   0.0   39.8      0.02 ?   Enterococcus songbeiensis strain 85-4 contig24, whole genome shotgun sequence
NZ_JXKT01000071.1    -         Sodium               RF03071    cm        1       55     3457     3412      -    no    1 0.48   0.0   39.7     0.021 ?   Enterococcus italicus DSM 15952 Scaffold71, whole genome shotgun sequence
NZ_JAHLEC010000021.1 -         Sodium               RF03071    cm        1       55     9235     9177      -    no    1 0.36   0.0   39.6     0.022 ?   Clostridium psychrophilum strain DSM 14207 contig00021, whole genome shotgun sequence
NZ_CP030935.1        -         Sodium               RF03071    cm        1       55    75027    75071      +    no    1 0.51   0.0   39.6     0.023 ?   Enterococcus gilvus strain CR1 plasmid pCR1C, complete sequence
NZ_JXKQ01000025.1    -         Sodium               RF03071    cm        1       55     1871     1915      +    no    1 0.51   0.0   39.6     0.023 ?   Enterococcus hermanniensis strain DSM 17122 Scaffold25, whole genome shotgun sequence
NZ_CP049887.1        -         Sodium               RF03071    cm        1       55  1272596  1272552      -    no    1 0.53   0.0   39.5     0.024 ?   Vagococcus hydrophili strain HDW17B chromosome, complete genome
NZ_WJQR01000003.1    -         Sodium               RF03071    cm        1       55   219306   219353      +    no    1 0.50   0.0   39.4     0.025 ?   Fundicoccus ignavus strain DSM 109653 3_310395_28.1153, whole genome shotgun sequence
