#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_SEIL01000087.1    -         nhaA-I               RF03057    cm        1       55      289      239      -    no    1 0.49   0.0   51.0   8.5e-07 !   Acinetobacter lwoffii strain AL_065 NODE_83_length_12254_cov_23.0646, whole genome shotgun sequence
NZ_JACJNC010000016.1 -         nhaA-I               RF03057    cm       36       55    99850    99871      +    no    1 0.77   0.0   13.9   8.1e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_16, whole genome shotgun sequence
NZ_JACJMT010000009.1 -         nhaA-I               RF03057    cm       36       55   111894   111873      -    no    1 0.77   0.0   13.9   8.1e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_09, whole genome shotgun sequence
NZ_PEDB01000048.1    -         nhaA-I               RF03057    cm        5       55   234210   234268      +    no    1 0.66   0.0   13.9   8.3e+02 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000048, whole genome shotgun sequence
NZ_NQXZ01000012.1    -         nhaA-I               RF03057    cm        1       55     6649     6589      -    no    1 0.56   0.0   13.9   8.4e+02 ?   Pseudomonas congelans strain RMX815.1a seq115_Contig12, whole genome shotgun sequence
NZ_NQYB01000059.1    -         nhaA-I               RF03057    cm        1       55    28595    28655      +    no    1 0.56   0.0   13.9   8.4e+02 ?   Pseudomonas congelans strain DM2.1.12.02A seq96_Contig60, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        5       55   614914   614867      -    no    1 0.77   0.0   13.9   8.4e+02 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_JAAQPR010000084.1 -         nhaA-I               RF03057    cm        1       55     2294     2353      +    no    1 0.72   0.1   13.8   8.5e+02 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000656, whole genome shotgun sequence
NZ_JYOF01000014.1    -         nhaA-I               RF03057    cm       40       51   179232   179221      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas sp. 2(2015) contig14, whole genome shotgun sequence
NZ_JYOF01000011.1    -         nhaA-I               RF03057    cm       40       51   105314   105303      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas sp. 2(2015) contig11, whole genome shotgun sequence
NZ_JYOF01000015.1    -         nhaA-I               RF03057    cm       40       51    51557    51546      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas sp. 2(2015) contig15, whole genome shotgun sequence
NZ_JYOF01000021.1    -         nhaA-I               RF03057    cm       40       51    26477    26488      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas sp. 2(2015) contig21, whole genome shotgun sequence
NZ_JAOA01000010.1    -         nhaA-I               RF03057    cm       40       51    41408    41419      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.9, whole genome shotgun sequence
NZ_PEDB01000024.1    -         nhaA-I               RF03057    cm       40       51   150634   150645      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000024, whole genome shotgun sequence
NZ_BIMO01000005.1    -         nhaA-I               RF03057    cm       40       51   139235   139224      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Stenotrophomonas pavanii strain Y contig5, whole genome shotgun sequence
NZ_JACJNF010000009.1 -         nhaA-I               RF03057    cm       40       51    24518    24529      +    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_09, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm       40       51  2155677  2155688      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_JAOA01000013.1    -         nhaA-I               RF03057    cm       40       51     5510     5499      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.12, whole genome shotgun sequence
NZ_ACJD01000001.1    -         nhaA-I               RF03057    cm       40       51   477096   477085      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Brucella ceti str. Cudo chromosome I VBI00081_1, whole genome shotgun sequence
NZ_ACJD01000003.1    -         nhaA-I               RF03057    cm       40       51   420837   420848      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Brucella ceti str. Cudo chromosome I VBI00081_3, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm       40       51  2076519  2076530      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_MRVD01000006.1    -         nhaA-I               RF03057    cm       40       51    22349    22338      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Ensifer adhaerens strain X097 Scaffold6, whole genome shotgun sequence
NZ_MRVD01000044.1    -         nhaA-I               RF03057    cm       40       51     5095     5106      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Ensifer adhaerens strain X097 Scaffold67, whole genome shotgun sequence
NZ_NQXZ01000082.1    -         nhaA-I               RF03057    cm       40       51     2325     2336      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas congelans strain RMX815.1a seq115_Contig83, whole genome shotgun sequence
NZ_NQYB01000042.1    -         nhaA-I               RF03057    cm       40       51     2393     2404      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas congelans strain DM2.1.12.02A seq96_Contig43, whole genome shotgun sequence
NZ_JAOA01000006.1    -         nhaA-I               RF03057    cm       40       51    41935    41946      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.5, whole genome shotgun sequence
NZ_VLGK01000325.1    -         nhaA-I               RF03057    cm       40       51      200      189      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Stenotrophomonas maltophilia strain AS012691 AS012691_327, whole genome shotgun sequence
NZ_PEDB01000149.1    -         nhaA-I               RF03057    cm       40       51    11727    11738      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000149, whole genome shotgun sequence
NZ_SRSQ01000367.1    -         nhaA-I               RF03057    cm       40       51       15        4      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Mesorhizobium sp. M8A.F.Ca.ET.142.01.1.1 NODE_367_length_331_cov_0.602941, whole genome shotgun sequence
NZ_CABEFZ010000022.1 -         nhaA-I               RF03057    cm       40       51    12769    12780      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_CABEFZ010000033.1 -         nhaA-I               RF03057    cm       40       51    46925    46914      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_PQFS01001007.1    -         nhaA-I               RF03057    cm       40       51      155      144      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium tuberculosis strain UT393 NODE_708_length_238_cov_0.868852_ID_1415, whole genome shotgun sequence
NZ_BIMO01000002.1    -         nhaA-I               RF03057    cm       40       51   883827   883816      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Stenotrophomonas pavanii strain Y contig2, whole genome shotgun sequence
NZ_RQWS01000534.1    -         nhaA-I               RF03057    cm       40       51       31       20      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Klebsiella pneumoniae strain CRKP5 NODE_586_length_336_cov_0.444976, whole genome shotgun sequence
NZ_JACJNF010000005.1 -         nhaA-I               RF03057    cm       40       51   303478   303467      -    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_05, whole genome shotgun sequence
NZ_JACJNC010000002.1 -         nhaA-I               RF03057    cm       40       51    33111    33122      +    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_02, whole genome shotgun sequence
NZ_JACJMT010000004.1 -         nhaA-I               RF03057    cm       40       51   330681   330670      -    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_04, whole genome shotgun sequence
NZ_JAJTVG010000005.1 -         nhaA-I               RF03057    cm       40       51    97890    97879      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Lactiplantibacillus plantarum strain IMI 507027 contig_5, whole genome shotgun sequence
NZ_JAAQPR010000106.1 -         nhaA-I               RF03057    cm       40       51     1670     1659      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00001709, whole genome shotgun sequence
NZ_MRZP01000011.1    -         nhaA-I               RF03057    cm       40       51      196      185      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_11_length_135835_cov_74.1286_ID_21, whole genome shotgun sequence
NZ_LTBH01000001.1    -         nhaA-I               RF03057    cm       40       51    20824    20813      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Corynebacterium striatum strain 2247 lasergene_10_len_T_60100, whole genome shotgun sequence
NZ_LBCN01000010.1    -         nhaA-I               RF03057    cm       40       51    24072    24061      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Corynebacterium striatum strain 2023 Consensus_from_Contig_12_mapping, whole genome shotgun sequence
NZ_MRVD01000005.1    -         nhaA-I               RF03057    cm       40       51    53800    53789      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Ensifer adhaerens strain X097 Scaffold5, whole genome shotgun sequence
NZ_JAOA01000001.1    -         nhaA-I               RF03057    cm       40       51   643230   643241      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.0, whole genome shotgun sequence
NZ_JAFLNU010000182.1 -         nhaA-I               RF03057    cm       40       51       23       12      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Vibrio parahaemolyticus strain Vb2225 NODE_222_length_275_cov_0.737374, whole genome shotgun sequence
NZ_JODT01000069.1    -         nhaA-I               RF03057    cm       40       51       74       85      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Streptomyces achromogenes subsp. achromogenes strain NRRL B-2120 contig69.1, whole genome shotgun sequence
NZ_SGBR01000629.1    -         nhaA-I               RF03057    cm       40       51      137      148      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Escherichia coli strain 10G NODE_631_length_264_cov_0.965368, whole genome shotgun sequence
NZ_JAHWGT010001359.1 -         nhaA-I               RF03057    cm       40       51       91       80      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Streptomyces sp. DH12 NODE_1379_length_420_cov_0.846416/1-420, whole genome shotgun sequence
NZ_PYUR01000003.1    -         nhaA-I               RF03057    cm       40       51   107690   107679      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica subsp. enterica serovar Typhimurium strain OLF-FSR1-ST-44 12, whole genome shotgun sequence
NZ_QDLQ01000021.1    -         nhaA-I               RF03057    cm       40       51     9363     9352      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica strain 235 NODE_21_length_69467_cov_12.179, whole genome shotgun sequence
NZ_JAAQPR010000019.1 -         nhaA-I               RF03057    cm       40       51     8187     8198      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000106, whole genome shotgun sequence
NZ_BADM01000219.1    -         nhaA-I               RF03057    cm       40       51     1966     1977      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_BADM01000537.1    -         nhaA-I               RF03057    cm       40       51     1965     1954      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_MRVD01000001.1    -         nhaA-I               RF03057    cm       40       51   596720   596709      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Ensifer adhaerens strain X097 Scaffold1, whole genome shotgun sequence
NZ_CAKZ01000053.1    -         nhaA-I               RF03057    cm       40       51    29046    29057      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_JAOA01000001.1    -         nhaA-I               RF03057    cm       40       51   192996   193007      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.0, whole genome shotgun sequence
NZ_JAOA01000051.1    -         nhaA-I               RF03057    cm       40       51      734      745      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.50, whole genome shotgun sequence
NZ_JAOA01000051.1    -         nhaA-I               RF03057    cm       40       51     3628     3617      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium kansasii 662 gmk662.contig.50, whole genome shotgun sequence
NZ_VKRU01000367.1    -         nhaA-I               RF03057    cm       40       51      212      201      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Stenotrophomonas maltophilia strain AS012504 AS012504_369, whole genome shotgun sequence
NZ_UWDN01000110.1    -         nhaA-I               RF03057    cm       40       51      219      208      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas viridiflava isolate p8.B4, whole genome shotgun sequence
NZ_UWDP01000033.1    -         nhaA-I               RF03057    cm       40       51       37       26      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas viridiflava isolate p8.B9, whole genome shotgun sequence
NZ_PEDB01000050.1    -         nhaA-I               RF03057    cm       40       51    55571    55560      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000050, whole genome shotgun sequence
NZ_PEDB01000074.1    -         nhaA-I               RF03057    cm       40       51    26186    26197      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000074, whole genome shotgun sequence
NZ_JAATNH010001081.1 -         nhaA-I               RF03057    cm       40       51      428      439      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Streptomyces sp. NEAU-H3 scaffold1365, whole genome shotgun sequence
NZ_LHMF01000010.1    -         nhaA-I               RF03057    cm       40       51    33831    33820      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_10, whole genome shotgun sequence
NZ_LHNW01000028.1    -         nhaA-I               RF03057    cm       40       51    66629    66618      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_28, whole genome shotgun sequence
NZ_LHLX01000039.1    -         nhaA-I               RF03057    cm       40       51    14646    14635      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50442 N50442_contig_39, whole genome shotgun sequence
NZ_LHLF01000005.1    -         nhaA-I               RF03057    cm       40       51    41564    41575      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_5, whole genome shotgun sequence
NZ_LHMA01000037.1    -         nhaA-I               RF03057    cm       40       51    41564    41575      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_37, whole genome shotgun sequence
NZ_POIA01000107.1    -         nhaA-I               RF03057    cm       40       51       85       96      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudomonas sp. GW531-E2 NODE_107_length_378_cov_0.943522, whole genome shotgun sequence
NZ_JACJNF010000001.1 -         nhaA-I               RF03057    cm       40       51    82577    82566      -    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_01, whole genome shotgun sequence
NZ_JACJNF010000015.1 -         nhaA-I               RF03057    cm       40       51    93151    93162      +    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_15, whole genome shotgun sequence
NZ_JACJNC010000001.1 -         nhaA-I               RF03057    cm       40       51    74342    74353      +    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_01, whole genome shotgun sequence
NZ_JACJNC010000007.1 -         nhaA-I               RF03057    cm       40       51   214992   214981      -    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_07, whole genome shotgun sequence
NZ_JACJMT010000003.1 -         nhaA-I               RF03057    cm       40       51    47048    47059      +    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_03, whole genome shotgun sequence
NZ_JACJMT010000016.1 -         nhaA-I               RF03057    cm       40       51    79779    79790      +    no    1 0.92   0.0   13.8   8.5e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_16, whole genome shotgun sequence
NZ_CDMV01000043.1    -         nhaA-I               RF03057    cm       40       51    25135    25146      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_PDDL01000290.1    -         nhaA-I               RF03057    cm       40       51      200      189      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Kocuria sp. CCUG 69068 contig290, whole genome shotgun sequence
NZ_ABBJ01000105.1    -         nhaA-I               RF03057    cm       40       51      608      619      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Burkholderia pseudomallei 14 PMP6xxBPSxx14-105, whole genome shotgun sequence
NZ_ABBL01000096.1    -         nhaA-I               RF03057    cm       40       51      609      620      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Burkholderia pseudomallei 9 PMP6xxBPSxx9-96, whole genome shotgun sequence
NZ_APHN01000973.1    -         nhaA-I               RF03057    cm       40       51      608      619      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Burkholderia pseudomallei str. MARAN Contig970_1, whole genome shotgun sequence
NZ_JAAQPR010000052.1 -         nhaA-I               RF03057    cm       40       51     4435     4446      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000434, whole genome shotgun sequence
NZ_BIMO01000003.1    -         nhaA-I               RF03057    cm       40       51   494045   494056      +    no    1 0.92   0.0   13.8   8.5e+02 ?   Stenotrophomonas pavanii strain Y contig3, whole genome shotgun sequence
NZ_QXDK01000138.1    -         nhaA-I               RF03057    cm       40       51       53       42      -    no    1 0.92   0.0   13.8   8.5e+02 ?   Cereibacter sphaeroides strain SCJ NODE_138_length_331_cov_0.948819, whole genome shotgun sequence
NZ_CABVLX010000003.1 -         nhaA-I               RF03057    cm        5       55    41379    41422      +    no    1 0.66   0.0   13.8   8.5e+02 ?   Desulfovibrio diazotrophicus isolate Dwuxii, whole genome shotgun sequence
NZ_JTCJ01000011.1    -         nhaA-I               RF03057    cm        1       55    17853    17805      -    no    1 0.73   0.1   13.8   8.5e+02 ?   Pseudomonas putida strain SQ1 Contig_311_PpSQ1, whole genome shotgun sequence
NZ_AFTH01000811.1    -         nhaA-I               RF03057    cm       37       55        1       19      +    5'    2 0.79   0.0   13.8   8.6e+02 ?   Pseudomonas syringae pv. actinidiae str. NCPPB 3739 contig829, whole genome shotgun sequence
NZ_JYOF01000004.1    -         nhaA-I               RF03057    cm        1       55   390141   390080      -    no    1 0.73   0.2   13.8   8.6e+02 ?   Pseudomonas sp. 2(2015) contig4, whole genome shotgun sequence
NZ_CABEFZ010000091.1 -         nhaA-I               RF03057    cm        1       55     5904     5960      +    no    1 0.61   0.0   13.8   8.7e+02 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_SEIL01000099.1    -         nhaA-I               RF03057    cm       38       53     5596     5581      -    no    1 0.62   0.0   13.8     9e+02 ?   Acinetobacter lwoffii strain AL_065 NODE_95_length_10035_cov_30.4267, whole genome shotgun sequence
NZ_JYOF01000003.1    -         nhaA-I               RF03057    cm        1       55   582482   582424      -    no    1 0.71   0.0   13.7     9e+02 ?   Pseudomonas sp. 2(2015) contig3, whole genome shotgun sequence
NZ_JACJMT010000029.1 -         nhaA-I               RF03057    cm        1       55    32008    31959      -    no    1 0.68   0.0   13.7   9.3e+02 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_29, whole genome shotgun sequence
NZ_CAKZ01000116.1    -         nhaA-I               RF03057    cm        1       55    33153    33039      -    no    1 0.63   0.0   13.7   9.3e+02 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_VKDK01000023.1    -         nhaA-I               RF03057    cm        1       55    14819    14752      -    no    1 0.63   0.0   13.7   9.4e+02 ?   Corynebacterium aurimucosum strain 2274 NODE_23_length_43866_cov_236.969, whole genome shotgun sequence
NZ_ACEQ02000021.1    -         nhaA-I               RF03057    cm        1       55    44081    44031      -    no    1 0.57   0.0   13.7   9.4e+02 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont20.1, whole genome shotgun sequence
NZ_JYOF01000011.1    -         nhaA-I               RF03057    cm        1       55   111975   111921      -    no    1 0.76   0.3   13.7   9.5e+02 ?   Pseudomonas sp. 2(2015) contig11, whole genome shotgun sequence
NZ_BADM01000663.1    -         nhaA-I               RF03057    cm        1       55    27792    27848      +    no    1 0.70   0.0   13.6   9.5e+02 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55    26616    26667      +    no    1 0.71   0.0   13.6   9.6e+02 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_SZVD01000049.1    -         nhaA-I               RF03057    cm        1       55     2741     2676      -    no    1 0.58   0.0   13.6   9.7e+02 ?   Enterobacter ludwigii strain ES-1 NODE_49_length_21696_cov_175.760488, whole genome shotgun sequence
NZ_NROH01000079.1    -         nhaA-I               RF03057    cm        1       55      311      355      +    no    1 0.53   0.0   13.6   9.7e+02 ?   Cronobacter dublinensis strain cro3314A3-1 contig79, whole genome shotgun sequence
NZ_NROH01000141.1    -         nhaA-I               RF03057    cm        1       55      348      392      +    no    1 0.53   0.0   13.6   9.7e+02 ?   Cronobacter dublinensis strain cro3314A3-1 contig141, whole genome shotgun sequence
NZ_JAOA01000010.1    -         nhaA-I               RF03057    cm       37       54   173701   173684      -    no    1 0.89   0.0   13.6   9.8e+02 ?   Mycobacterium kansasii 662 gmk662.contig.9, whole genome shotgun sequence
NZ_WNHK01000771.1    -         nhaA-I               RF03057    cm        1       55      188      147      -    no    1 0.64   0.0   13.6   9.9e+02 ?   Streptococcus pneumoniae strain pnumococcus15C NODE_794_length_234_cov_0.942675, whole genome shotgun sequence
NZ_NQXZ01000097.1    -         nhaA-I               RF03057    cm        1       55    39230    39185      -    no    1 0.70   0.0   13.5     1e+03 ?   Pseudomonas congelans strain RMX815.1a seq115_Contig99, whole genome shotgun sequence
NZ_CABGVC010000011.1 -         nhaA-I               RF03057    cm        1       55     2746     2714      -    no    1 0.58   0.0   13.5     1e+03 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_WJWO01000009.1    -         nhaA-I               RF03057    cm        1       55   127601   127569      -    no    1 0.58   0.0   13.5     1e+03 ?   Klebsiella pneumoniae strain CriePir26 NODE_9_length_249107_cov_58.8093, whole genome shotgun sequence
NZ_CDMV01000041.1    -         nhaA-I               RF03057    cm        1       55   170722   170690      -    no    1 0.58   0.0   13.5     1e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_JTCJ01000532.1    -         nhaA-I               RF03057    cm        1       55     1037     1093      +    no    1 0.58   0.0   13.5     1e+03 ?   Pseudomonas putida strain SQ1 Contig_914_PpSQ1, whole genome shotgun sequence
NZ_CDRR01000464.1    -         nhaA-I               RF03057    cm        1       55     2052     2005      -    no    1 0.50   0.0   13.5     1e+03 ?   Escherichia coli strain 138B_L2, whole genome shotgun sequence
NZ_SZVD01000020.1    -         nhaA-I               RF03057    cm        1       55    78431    78480      +    no    1 0.58   0.0   13.5     1e+03 ?   Enterobacter ludwigii strain ES-1 NODE_20_length_81182_cov_188.632513, whole genome shotgun sequence
NZ_CABEFZ010000020.1 -         nhaA-I               RF03057    cm        1       55    61254    61314      +    no    1 0.69   0.0   13.5     1e+03 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_VKDG01000001.1    -         nhaA-I               RF03057    cm        1       55    62340    62374      +    no    1 0.71   0.0   13.5   1.1e+03 ?   Corynebacterium aurimucosum strain 2271 NODE_1_length_624265_cov_71.2261, whole genome shotgun sequence
NZ_VKDJ01000014.1    -         nhaA-I               RF03057    cm        1       55    48336    48370      +    no    1 0.71   0.0   13.5   1.1e+03 ?   Corynebacterium aurimucosum strain 2226 NODE_14_length_77127_cov_44.3929, whole genome shotgun sequence
NZ_VKDH01000012.1    -         nhaA-I               RF03057    cm        1       55   101577   101611      +    no    1 0.71   0.0   13.5   1.1e+03 ?   Corynebacterium aurimucosum strain 2218 NODE_12_length_106634_cov_171.944, whole genome shotgun sequence
NZ_MRZP01000012.1    -         nhaA-I               RF03057    cm        1       55     8626     8564      -    no    1 0.62   0.0   13.4   1.1e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_12_length_130936_cov_86.2745_ID_23, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55   847084   847158      +    no    1 0.68   0.0   13.4   1.1e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_PEDB01000148.1    -         nhaA-I               RF03057    cm        1       55    26695    26742      +    no    1 0.62   0.0   13.4   1.1e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000148, whole genome shotgun sequence
NZ_JPYI02000015.1    -         nhaA-I               RF03057    cm       27       55      345      318      -    no    2 0.75   0.0   13.4   1.1e+03 ?   Xanthomonas phaseoli pv. dieffenbachiae strain LMG 25940 Contig17, whole genome shotgun sequence
NZ_JAOA01000011.1    -         nhaA-I               RF03057    cm        1       55    96685    96615      -    no    1 0.69   0.0   13.4   1.1e+03 ?   Mycobacterium kansasii 662 gmk662.contig.10, whole genome shotgun sequence
NZ_VLFN01000917.1    -         nhaA-I               RF03057    cm        1       55       64       95      +    no    1 0.75   0.0   13.4   1.1e+03 ?   Acinetobacter baumannii strain AS012725 AS012725_949, whole genome shotgun sequence
NZ_JAAQPR010000088.1 -         nhaA-I               RF03057    cm        1       55    33883    33827      -    no    1 0.68   0.0   13.3   1.1e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000742, whole genome shotgun sequence
NZ_LZFM01000040.1    -         nhaA-I               RF03057    cm        1       55      709      782      +    no    1 0.50   0.0   13.3   1.1e+03 ?   Aeromonas dhakensis strain F2S2-1 scaffold46, whole genome shotgun sequence
NZ_PEDB01000061.1    -         nhaA-I               RF03057    cm        1       55    21067    21120      +    no    1 0.74   0.2   13.3   1.1e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000061, whole genome shotgun sequence
NZ_JYOF01000023.1    -         nhaA-I               RF03057    cm        1       55    43988    44060      +    no    1 0.70   0.1   13.3   1.1e+03 ?   Pseudomonas sp. 2(2015) contig23, whole genome shotgun sequence
NZ_NQXZ01000127.1    -         nhaA-I               RF03057    cm        1       55     3085     3048      -    no    1 0.61   0.0   13.3   1.1e+03 ?   Pseudomonas congelans strain RMX815.1a seq115_Contig136, whole genome shotgun sequence
