#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_JACHOU010000003.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    51036    50991      -    no    1 0.70   0.0   36.9     0.075 !   Aminobacter aganoensis strain DSM 7051 Ga0373208_03, whole genome shotgun sequence
DLGN01000042.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    13460    13404      -    no    1 0.61   0.0   36.9     0.075 !   TPA_asm: Oxalobacteraceae bacterium UBA7693 UBA7693_contig_74335, whole genome shotgun sequence
NZ_JAHFZF010000016.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    91886    91831      -    no    1 0.57   0.0   36.9     0.076 !   Rhodoferax sp. U11-2br contig00016, whole genome shotgun sequence
NZ_WNWM01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5565048  5564999      -    no    1 0.66   0.0   36.9     0.077 !   Massilia dura strain DSM 17513 HM5_1_1, whole genome shotgun sequence
SEGN01000095.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10626    10574      -    no    1 0.72   0.0   36.9     0.078 !   Variovorax sp. isolate PMG_138 scaffold_13209, whole genome shotgun sequence
CAIVVZ010000058.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      995     1044      +    no    1 0.50   0.0   36.9     0.078 !   uncultured Desulfobacteraceae bacterium isolate AlinenLipids_bin-9448 genome assembly, contig: bin-9448:058/658, whole genome shotgun sequence
DDYH01000069.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   160313   160370      +    no    1 0.60   0.0   36.9     0.078 !   TPA_asm: Gallionellaceae bacterium UBA2239 UBA2239_contig_676, whole genome shotgun sequence
JAAYAJ010000094.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    47870    47916      +    no    1 0.70   0.0   36.9     0.079 !   Acidobacteria bacterium isolate AS06rmzACSIP_118 476926_AS06, whole genome shotgun sequence
NZ_LMQW01000052.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6495     6448      -    no    1 0.71   0.0   36.9     0.079 !   Aureimonas sp. Leaf427 contig_8, whole genome shotgun sequence
JADMJJ010000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   144114   144061      -    no    1 0.78   0.2   36.8     0.079 !   MAG: Burkholderiaceae bacterium isolate MAG_28 NODE_69_length_237214_cov_63.431069, whole genome shotgun sequence
JADGAN010000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    36379    36434      +    no    1 0.43   0.0   36.8     0.079 !   Oligoflexia bacterium isolate nN3bin31 nN3_bin31_NODE_13_length_112932_cov_16.015389, whole genome shotgun sequence
NZ_JYLM01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   772455   772396      -    no    1 0.58   0.0   36.8      0.08 !   Pseudomonas orientalis strain DSM 17489 1_1019307_14.5664, whole genome shotgun sequence
NZ_LKCA01000012.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   237447   237502      +    no    1 0.66   0.0   36.8     0.081 !   Pseudomonas viridiflava strain ICMP 8820 scaffold2, whole genome shotgun sequence
VEQI01000380.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      926      975      +    no    1 0.58   0.0   36.8     0.082 !   MAG: Limnohabitans sp. isolate ZLKRG10 NODE_44729_length_3136_cov_1.592888, whole genome shotgun sequence
PDZT01000220.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1468     1516      +    no    1 0.37   0.0   36.8     0.083 !   Deltaproteobacteria bacterium YD0425bin50 scaffold2125, whole genome shotgun sequence
NZ_KB850112.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   115489   115535      +    no    1 0.51   0.0   36.8     0.084 !   Acinetobacter variabilis strain NIPH 2171 acLsq-supercont1.2, whole genome shotgun sequence
JACCTC010000090.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    33793    33748      -    no    1 0.76   0.0   36.8     0.084 !   Deltaproteobacteria bacterium isolate MGR_bin64 SD2897-2912_k127_7948847, whole genome shotgun sequence
NZ_BMUA01000019.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    59339    59390      +    no    1 0.73   0.0   36.7     0.085 !   Streptomyces violascens strain JCM 4424 sequence19, whole genome shotgun sequence
JAFGAG010000029.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8162     8211      +    no    1 0.64   0.0   36.7     0.085 !   Coriobacteriia bacterium isolate Zod_maxbin.0135_3 k87_1492003, whole genome shotgun sequence
MGTX01000004.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    25947    25994      +    no    1 0.67   0.0   36.7     0.085 !   Elusimicrobia bacterium GWA2_66_18 gwa2_scaffold_144, whole genome shotgun sequence
NZ_WNKZ01000053.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    32345    32298      -    no    1 0.65   0.0   36.7     0.086 !   Massilia buxea strain KCTC 52429 NODE_53_length_43015_cov_35.867119_53, whole genome shotgun sequence
JACQZU010000020.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   144884   144930      +    no    1 0.70   0.0   36.7     0.086 !   Acidobacteria bacterium isolate NC_groundwater_1575_Pr3_B-0.1um_68_18 SR-2_scaffold_141_3027284, whole genome shotgun sequence
NZ_SPVF01000084.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    25846    25799      -    no    1 0.73   0.0   36.7     0.087 !   Massilia arenosa strain MC02 EFN1C69W38, whole genome shotgun sequence
DFZO01000005.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    12065    12111      +    no    1 0.62   0.0   36.7     0.087 !   TPA_asm: Syntrophaceae bacterium UBA4054 UBA4054_contig_628, whole genome shotgun sequence
NZ_CP016634.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1039656  1039599      -    no    1 0.64   0.0   36.7     0.089 !   Pseudomonas putida strain IEC33019 chromosome, complete genome
PEYI01000043.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4082     4043      -    no    1 0.55   0.0   36.7     0.089 !   Candidatus Omnitrophica bacterium CG08_land_8_20_14_0_20_41_16 CG08_land_8_20_14_0.20_scaffold_3078_c, whole genome shotgun sequence
NZ_JAAAPO010000004.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   302079   302027      -    no    1 0.57   0.0   36.7     0.089 !   Novosphingobium sp. FSY-8 contig00004, whole genome shotgun sequence
NZ_CP016447.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1872655  1872704      +    no    1 0.72   0.0   36.7      0.09 !   Acidovorax sp. RAC01 chromosome, complete genome
NZ_SPUJ01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   622095   622044      -    no    1 0.77   0.4   36.6     0.091 !   Nocardioides sp. 1609 Scaffold3_1, whole genome shotgun sequence
DDTH01000006.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   632501   632546      +    no    1 0.70   0.0   36.6     0.093 !   TPA_asm: Sphingomonadales bacterium UBA2369 UBA2369_contig_1533, whole genome shotgun sequence
NZ_JACADR010000184.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2914     2965      +    no    1 0.71   0.0   36.6     0.094 !   Roseomonas sp. OP-27 184, whole genome shotgun sequence
NZ_AUEA01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    40109    40050      -    no    1 0.57   0.0   36.6     0.096 !   Pseudomonas cremoricolorata DSM 17059 = NBRC 16634 strain DSM 17059 H618DRAFT_scaffold00010.10_C, whole genome shotgun sequence
DPIG01000043.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4279     4326      +    no    1 0.60   0.0   36.5     0.096 !   TPA_asm: Candidatus Omnitrophica bacterium isolate UBA10147 contig_53024, whole genome shotgun sequence
NZ_JAGINK010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3986182  3986126      -    no    1 0.67   0.0   36.5     0.097 !   Pseudomonas sp. BP8 Ga0436259_01, whole genome shotgun sequence
NZ_NERY01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10952    11001      +    no    1 0.52   0.0   36.5     0.098 !   Limnohabitans sp. MMS-10A-178 LimB-MMS-10A-178-C2, whole genome shotgun sequence
NZ_BCUG01000052.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19941    19996      +    no    1 0.64   0.0   36.5     0.099 !   Thauera butanivorans NBRC 103042, whole genome shotgun sequence
NZ_LDTE01000044.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    54800    54848      +    no    1 0.67   0.0   36.5     0.099 !   Sphingomonas sanguinis strain SB4 contig_44, whole genome shotgun sequence
NZ_JAAMQI010000002.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   236086   236027      -    no    1 0.62   0.0   36.5       0.1 !   Pseudomonas entomophila strain 4A7 NODE_2_length_256459_cov_78.048336, whole genome shotgun sequence
NZ_CP015848.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1102642  1102698      +    no    1 0.67   0.0   36.5       0.1 !   Magnetospirillum sp. ME-1 chromosome, complete genome
VGSH01000014.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    29868    29814      -    no    1 0.55   0.0   36.5       0.1 !   Deltaproteobacteria bacterium isolate K_DeepCast_150m_m1_356 K_DeepCast_150m_m1_356_Ga0194126_10001293, whole genome shotgun sequence
JADJOR010000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   312362   312417      +    no    1 0.73   0.0   36.5       0.1 !   Deltaproteobacteria bacterium isolate Fred_18-Q3-R57-64_BAT3C.701 tig00002565-10-11191480, whole genome shotgun sequence
NZ_KB850122.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1386627  1386581      -    no    1 0.49   0.0   36.5       0.1 !   Acinetobacter sp. CIP 64.2 acLsy-supercont1.5, whole genome shotgun sequence
NZ_MDUX01000014.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    12707    12658      -    no    1 0.60   0.0   36.5       0.1 !   Candidatus Dactylopiibacterium carminicum isolate END1 NODE_382_length_65889_cov_7.1956_ID_949, whole genome shotgun sequence
CAINMN010000098.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7253     7302      +    no    1 0.56   0.0   36.5       0.1 !   uncultured Burkholderiales bacterium isolate Loclat_bin-00649 genome assembly, contig: bin-00649:098/382, whole genome shotgun sequence
NZ_LMDI01000067.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   120486   120438      -    no    1 0.67   0.0   36.4       0.1 !   Rhizobacter sp. Root1221 contig_7, whole genome shotgun sequence
NZ_LROM01000121.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14077    14029      -    no    1 0.65   0.0   36.4       0.1 !   Duganella phyllosphaerae strain T54 DUPY_contig000121, whole genome shotgun sequence
NZ_CP031012.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1543602  1543542      -    no    1 0.54   0.0   36.4       0.1 !   Alcaligenes faecalis strain Mc250 chromosome
PDZS01000068.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8050     8001      -    no    1 0.40   0.0   36.4       0.1 !   Deltaproteobacteria bacterium YD0425bin51 scaffold68, whole genome shotgun sequence
NZ_CP029985.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2998340  2998391      +    no    1 0.67   0.0   36.4      0.11 !   Sphingomonas sp. FARSPH chromosome, complete genome
NZ_KE340379.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   421654   421700      +    no    1 0.47   0.0   36.4      0.11 !   Acinetobacter colistiniresistens strain NIPH 2036 acVBK-supercont1.4, whole genome shotgun sequence
JAAYVE010000032.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    36846    36897      +    no    1 0.48   0.0   36.4      0.11 !   Deltaproteobacteria bacterium isolate AS27yjCOA_29 93379_AS27, whole genome shotgun sequence
NZ_JYKS01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   331115   331058      -    no    1 0.59   0.0   36.4      0.11 !   Pseudomonas sp. 10-1B contig_1, whole genome shotgun sequence
NZ_BDAY01000013.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9658     9703      +    no    1 0.76   0.2   36.4      0.11 !   Nocardia altamirensis NBRC 108246, whole genome shotgun sequence
NZ_NIWU01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   576847   576905      +    no    1 0.59   0.0   36.4      0.11 !   Pseudomonas umsongensis strain DSM 16611 contig1, whole genome shotgun sequence
NZ_JAFICD010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1734335  1734287      -    no    1 0.65   0.0   36.4      0.11 !   Duganella sp. 1411 Ga0454180_01, whole genome shotgun sequence
JAEUGY010000109.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    24754    24803      +    no    1 0.70   0.0   36.4      0.11 !   Opitutaceae bacterium isolate new MAG-3 k141_1016883, whole genome shotgun sequence
NZ_PDNU01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   199771   199822      +    no    1 0.71   0.0   36.4      0.11 !   Roseomonas rhizosphaerae strain YW11 contig1, whole genome shotgun sequence
NZ_LMPZ01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    24683    24626      -    no    1 0.76   0.1   36.4      0.11 !   Brevundimonas sp. Leaf363 contig_1, whole genome shotgun sequence
DJVN01000039.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8332     8279      -    no    1 0.43   0.0   36.4      0.11 !   TPA_asm: Syntrophaceae bacterium UBA6255 UBA6255_contig_117904, whole genome shotgun sequence
MNZP01000088.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      294      342      +    no    1 0.57   0.0   36.3      0.11 !   Syntrophaceae bacterium CG2_30_49_12 cg2_3.0_scaffold_14639_c, whole genome shotgun sequence
NZ_CAJFCL010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   236180   236235      +    no    1 0.62   0.0   36.3      0.11 !   Pseudomonas paraversuta strain V4/DAB/S4/2a, whole genome shotgun sequence
NZ_CP012676.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3219564  3219619      +    no    1 0.62   0.0   36.3      0.11 !   Pseudomonas versuta strain L10.10 chromosome, complete genome
NZ_LMKC01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   149464   149411      -    no    1 0.74   0.1   36.3      0.11 !   Sphingomonas sp. Leaf9 contig_1, whole genome shotgun sequence
NZ_LMMT01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    96968    96918      -    no    1 0.73   0.1   36.3      0.11 !   Pseudorhodoferax sp. Leaf265 contig_10, whole genome shotgun sequence
DSYH01000212.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5314     5364      +    no    1 0.47   0.0   36.3      0.11 !   TPA_asm: Nitrospirae bacterium isolate SpSt-570 Ga0101944_10013842, whole genome shotgun sequence
DLHE01000034.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9201     9249      +    no    1 0.84   2.3   36.3      0.11 !   TPA_asm: Rhodanobacteraceae bacterium UBA7676 UBA7676_contig_222, whole genome shotgun sequence
JACDZI010000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    54554    54623      +    no    1 0.54   0.0   36.3      0.11 !   Rhodocyclaceae bacterium isolate ppb04 NODE_50_length_57714_cov_68.373784, whole genome shotgun sequence
NZ_NFZQ01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   339335   339277      -    no    1 0.66   0.0   36.3      0.11 !   Pseudomonas sp. SID14000 NODE_2_length_480344_cov_147.702_ID_3, whole genome shotgun sequence
NZ_CP054840.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3911754  3911802      +    no    1 0.63   0.0   36.3      0.11 !   Acidovorax antarcticus strain 16-35-5 chromosome, complete genome
NZ_FTMZ01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    11692    11745      +    no    1 0.74   0.0   36.3      0.11 !   Sphaerotilus natans strain ATCC 13338, whole genome shotgun sequence
CAIVSY010000012.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8868     8915      +    no    1 0.62   0.0   36.3      0.11 !   uncultured bacterium isolate LaPlata_bin-2000 genome assembly, contig: bin-2000:012/118, whole genome shotgun sequence
NZ_QAJN01000027.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    29000    29054      +    no    1 0.62   0.0   36.3      0.11 !   Paucibacter sp. KBW04 KBW4_TGACCA_contig_27, whole genome shotgun sequence
MVQN01000112.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8870     8925      +    no    1 0.68   0.0   36.3      0.12 !   MAG: Syntrophorhabdus sp. PtaB.Bin006 A4E58_contig000112, whole genome shotgun sequence
NZ_SNZR01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   209444   209492      +    no    1 0.71   0.0   36.3      0.12 !   Enterovirga rhinocerotis strain DSM 25903 Ga0310539_101, whole genome shotgun sequence
DSVO01000055.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3786     3737      -    no    1 0.62   0.0   36.3      0.12 !   TPA_asm: Verrucomicrobia subdivision 3 bacterium isolate SpSt-506 Ga0101944_10000893, whole genome shotgun sequence
NZ_MDDS01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    33093    33140      +    no    1 0.73   0.0   36.2      0.12 !   Sphingomonas turrisvirgatae strain MCT13 MCT13_NODE_17_length_79247_cov_33.7165_ID_1857, whole genome shotgun sequence
JAGOCL010000078.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5020     5062      +    no    1 0.53   0.0   36.2      0.12 !   Spirochaetes bacterium isolate Go_SlDig_bin_318 Go_SlDig_23385_length_9197_cov_6.108490, whole genome shotgun sequence
JADJYY010000007.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10808    10867      +    no    1 0.62   0.0   36.2      0.12 !   Hydrogenophilales bacterium isolate Lyne_18-Q3-R50-59_BATAC.79 tig00016340-10-1523270, whole genome shotgun sequence
NZ_CP018846.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3370893  3370950      +    no    1 0.55   0.0   36.2      0.12 !   Pseudomonas putida strain AA7 chromosome, complete genome
MHEF01000130.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    31335    31285      -    no    1 0.41   0.0   36.2      0.12 !   Nitrospirae bacterium RBG_13_39_12 RBG_13_scaffold_540, whole genome shotgun sequence
NZ_JACSQK010000004.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    90211    90270      +    no    1 0.62   0.0   36.2      0.12 !   Comamonas sp. Sa2CVA6 NODE_4_length_539702_cov_37.715113, whole genome shotgun sequence
NZ_BLXR01000073.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4880     4823      -    no    1 0.57   0.0   36.2      0.12 !   Pseudomonas sp. BML-PP048 BML48_contig_73, whole genome shotgun sequence
JACRCU010000285.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5668     5627      -    no    1 0.69   0.0   36.1      0.12 !   Deltaproteobacteria bacterium isolate NC_groundwater_1654_Pr3_B-0.1um_9_b SR-2_scaffold_141_2038744, whole genome shotgun sequence
JADFZW010000046.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9916     9854      -    no    1 0.32   0.0   36.1      0.13 !   Oligoflexia bacterium isolate nKLKbin12 nKLK_bin12_NODE_46_length_31046_cov_17.034542, whole genome shotgun sequence
NZ_JYKO02000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2658329  2658384      +    no    1 0.59   0.0   36.1      0.13 !   Pseudomonas sp. LFM046 Pseudomonas-Brazil-Chromose, whole genome shotgun sequence
SCVW01000016.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   161418   161363      -    no    1 0.45   0.0   36.1      0.13 !   Smithella sp. isolate SDB_sulfate1 contig-3000001, whole genome shotgun sequence
DJVN01000035.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    40445    40499      +    no    1 0.45   0.0   36.1      0.13 !   TPA_asm: Syntrophaceae bacterium UBA6255 UBA6255_contig_21186, whole genome shotgun sequence
JAHJOG010000274.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1032     1081      +    no    1 0.72   0.0   36.1      0.13 !   MAG: Gammaproteobacteria bacterium isolate Old_saline_planktonic.mb.16 Old_saline_plankto.mb.16_k141_831396, whole genome shotgun sequence
JAAYHO010000163.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1542     1487      -    no    1 0.66   0.0   36.1      0.13 !   Gammaproteobacteria bacterium isolate AS09scLD_389 94168_AS09, whole genome shotgun sequence
NZ_JAGPWD010000020.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    24299    24347      +    no    1 0.65   0.0   36.1      0.13 !   Massilia sp. ZL223 Massilia_ZL223_S140_Assembly_contig_20, whole genome shotgun sequence
RPRB01000074.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    15059    15114      +    no    1 0.70   0.0   36.1      0.13 !   Myxococcaceae bacterium isolate metabat2.71 metabat2.71_Contig_543357, whole genome shotgun sequence
NZ_FNZB01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   269305   269356      +    no    1 0.73   0.1   36.1      0.13 !   Sphingomonas sp. OV641, whole genome shotgun sequence
NZ_WHJG01000051.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8620     8668      +    no    1 0.69   0.0   36.1      0.13 !   Massilia frigida strain CCM 8695 NODE_51_length_45876_cov_10.174692, whole genome shotgun sequence
JQCU01000363.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      267      221      -    no    1 0.49   0.0   36.0      0.13 !   Acinetobacter idrijaensis strain MII contig_437, whole genome shotgun sequence
NZ_KB849586.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    51509    51463      -    no    1 0.49   0.0   36.0      0.13 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.7, whole genome shotgun sequence
NZ_KB849588.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7450     7404      -    no    1 0.49   0.0   36.0      0.13 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.9, whole genome shotgun sequence
NZ_KB850117.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    24503    24549      +    no    1 0.49   0.0   36.0      0.13 !   Acinetobacter variabilis strain NIPH 2171 acLsq-supercont1.7, whole genome shotgun sequence
PHCS01000045.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14662    14617      -    no    1 0.74   0.0   36.0      0.13 !   Betaproteobacteria bacterium HGW-Betaproteobacteria-14 bjp_ig2158_scaffold_808, whole genome shotgun sequence
JACPIU010000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    63411    63458      +    no    1 0.54   0.0   36.0      0.14 !   Bdellovibrio sp. isolate NC_groundwater_449_Ag_S-0.1um_43_11 S35_SO-1_scaffold_116195, whole genome shotgun sequence
CAINFC010000094.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2761     2705      -    no    1 0.54   0.0   36.0      0.14 !   uncultured Acidobacteria bacterium isolate LaPlata_bin-3695 genome assembly, contig: bin-3695:094/326, whole genome shotgun sequence
JACRIZ010000007.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7169     7227      +    no    1 0.66   0.0   36.0      0.14 !   Rhodocyclales bacterium isolate NC_groundwater_1816_Pr3_B-0.1um_66_141 SR-2_scaffold_141_171961, whole genome shotgun sequence
MEQB01000023.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    34757    34710      -    no    1 0.50   0.0   35.9      0.14 !   Bdellovibrionales bacterium RIFOXYC1_FULL_37_79 rifoxyc1_full_scaffold_207, whole genome shotgun sequence
NZ_KB849576.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   604415   604369      -    no    1 0.53   0.0   35.9      0.14 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.14, whole genome shotgun sequence
NZ_JADWYS010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4434096  4434143      +    no    1 0.65   0.0   35.9      0.14 !   Caenimonas sp. DR4.4 contig1, whole genome shotgun sequence
JAGOSC010000022.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    11095    11050      -    no    1 0.52   0.0   35.9      0.14 !   Candidatus Omnitrophica bacterium isolate Gw_Eff_bin_307 Gw_Eff_1677_length_40048_cov_5.464142, whole genome shotgun sequence
NZ_PPXQ01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   327628   327675      +    no    1 0.69   0.0   35.9      0.14 !   Massilia sp. Mn16-1_5 NODE_2_length_401374_cov_132.493, whole genome shotgun sequence
PLNO01000014.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3326     3279      -    no    1 0.69   0.0   35.9      0.14 !   Spirochaetaceae bacterium isolate fen_1366 73.20120800_E1X.37_contig_5323, whole genome shotgun sequence
NZ_AP023359.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1453916  1453954      +    no    1 0.82   0.1   35.9      0.15 !   Polymorphospora rubra strain NBRC 101157 chromosome, complete genome
CAJBLH010000145.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8600     8551      -    no    1 0.50   0.0   35.9      0.15 !   uncultured Desulfobacteraceae bacterium isolate Loc090721-6m_bin-047 genome assembly, contig: bin-047:145/315, whole genome shotgun sequence
JAFAIY010000142.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2086     2145      +    no    1 0.68   0.0   35.9      0.15 !   MAG: Comamonas sp. isolate CP_BE_BS_R2_2 BE_BS_R2_k147_3331777, whole genome shotgun sequence
NZ_LGJH01000129.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    52323    52274      -    no    1 0.58   0.0   35.9      0.15 !   Novosphingobium sp. ST904 contig_38, whole genome shotgun sequence
