#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JAJNSX010000016.1 -         Sodium               RF03071    cm        1       55    41334    41286      -    no    1 0.39   0.0   48.1   1.3e-06 !   Lactobacillus delbrueckii subsp. bulgaricus strain FAM 22166 FAM22166-i1-1_scf16, whole genome shotgun sequence
NZ_ADPT01001317.1    -         Sodium               RF03071    cm        1       55      255      219      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis 9 Contig_9_9240, whole genome shotgun sequence
NZ_ADSL01001141.1    -         Sodium               RF03071    cm        1       55       71      107      +    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis I1970005 Contig_I1970005_7015, whole genome shotgun sequence
NZ_ADSD01001017.1    -         Sodium               RF03071    cm        1       55      423      387      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis F1984001 Contig_F1984001_6697, whole genome shotgun sequence
NZ_ADQR01000225.1    -         Sodium               RF03071    cm        1       55      288      252      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis CMCC31004 Contig_CMCC31004_1722, whole genome shotgun sequence
NZ_ADRB01000133.1    -         Sodium               RF03071    cm        1       55      282      246      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis CMCC67001 Contig_CMCC67001_1014, whole genome shotgun sequence
NZ_ADRC01001371.1    -         Sodium               RF03071    cm        1       55        5       41      +    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis CMCC71001 Contig_CMCC71001_8574, whole genome shotgun sequence
NZ_ADPY01000096.1    -         Sodium               RF03071    cm        1       55      150      186      +    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis A1973001 Contig_A1973001_444, whole genome shotgun sequence
NZ_ADRI01000039.1    -         Sodium               RF03071    cm        1       55      102      138      +    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis CMCC90027 Contig_CMCC90027_208, whole genome shotgun sequence
NZ_ADQL01000242.1    -         Sodium               RF03071    cm        1       55       77      113      +    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis CMCC114001 Contig_CMCC114001_1470, whole genome shotgun sequence
NZ_ADTI01001110.1    -         Sodium               RF03071    cm        1       55      431      395      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis YN663 Contig_YN663_10319, whole genome shotgun sequence
NZ_ADSM01000361.1    -         Sodium               RF03071    cm        1       55      315      279      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis I1991001 Contig_I1991001_2749, whole genome shotgun sequence
NZ_ADRV01000489.1    -         Sodium               RF03071    cm        1       55      259      223      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis D1964002 Contig_D1964002_2908, whole genome shotgun sequence
NZ_ADTE01000571.1    -         Sodium               RF03071    cm        1       55      318      282      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis YN2179 Contig_YN2179_3843, whole genome shotgun sequence
NZ_AKSP01001242.1    -         Sodium               RF03071    cm        1       55      161      125      -    no    1 0.24   0.1   13.1   1.2e+03 ?   Yersinia pestis PY-54 PY_54.contig.1212_1, whole genome shotgun sequence
NZ_MIXZ01000019.1    -         Sodium               RF03071    cm        1       55     1826     1792      -    no    1 0.37   0.0   13.1   1.2e+03 ?   Fructilactobacillus sanfranciscensis strain TMW 1.2139 seq26, whole genome shotgun sequence
NZ_MIXX01000016.1    -         Sodium               RF03071    cm        1       55       30       64      +    no    1 0.37   0.0   13.1   1.2e+03 ?   Fructilactobacillus sanfranciscensis strain TMW 1.2137 seq23, whole genome shotgun sequence
NZ_JAHEAH010000004.1 -         Sodium               RF03071    cm        1       55   468231   468271      +    no    1 0.46   0.0   13.1   1.2e+03 ?   Flavihumibacter rivuli strain IMCC34838 NODE_4_length_566118_cov_45.148910, whole genome shotgun sequence
NZ_QRVY01000003.1    -         Sodium               RF03071    cm        1       55    47252    47300      +    no    1 0.39   0.0   13.1   1.2e+03 ?   Ruminococcus bromii strain AF21-10LB AF21-10LB.Scaf3, whole genome shotgun sequence
NZ_VLXO01001148.1    -         Sodium               RF03071    cm        1       55        4       44      +    no    1 0.24   0.0   13.1   1.2e+03 ?   Stenotrophomonas maltophilia strain AS012546 AS012546_1151, whole genome shotgun sequence
NZ_JAFKPA010000910.1 -         Sodium               RF03071    cm        3       28        8       31      +    no    1 0.21   0.0   13.0   1.2e+03 ?   Vibrio vulnificus strain Vv15 NODE_931_length_256_cov_0.815642, whole genome shotgun sequence
NZ_UITN01000648.1    -         Sodium               RF03071    cm       38       53      266      281      +    no    1 0.25   0.0   13.0   1.2e+03 ?   Klebsiella pneumoniae strain EuSCAPE_ES151, whole genome shotgun sequence
NZ_MSCZ01000023.1    -         Sodium               RF03071    cm       38       53    25136    25121      -    no    1 0.25   0.0   13.0   1.2e+03 ?   Acinetobacter baumannii strain 11598 scaffold27, whole genome shotgun sequence
NZ_PRGG01000032.1    -         Sodium               RF03071    cm       38       53    28263    28248      -    no    1 0.25   0.0   13.0   1.2e+03 ?   Acinetobacter baumannii strain AB-HZ-S15 sp_sm_15_ctg032_102056, whole genome shotgun sequence
NZ_BJKF01000018.1    -         Sodium               RF03071    cm       38       53    92928    92943      +    no    1 0.25   0.0   13.0   1.2e+03 ?   Acinetobacter baumannii strain NIPH17_0019 contig_18, whole genome shotgun sequence
NZ_JAHEAH010000007.1 -         Sodium               RF03071    cm       38       53    26153    26138      -    no    1 0.25   0.0   13.0   1.2e+03 ?   Flavihumibacter rivuli strain IMCC34838 NODE_7_length_233268_cov_42.709326, whole genome shotgun sequence
NZ_MSCZ01000053.1    -         Sodium               RF03071    cm        3       28    11120    11142      +    no    1 0.30   0.0   13.0   1.2e+03 ?   Acinetobacter baumannii strain 11598 scaffold26, whole genome shotgun sequence
NZ_PRGG01000022.1    -         Sodium               RF03071    cm        3       28    10668    10690      +    no    1 0.30   0.0   13.0   1.2e+03 ?   Acinetobacter baumannii strain AB-HZ-S15 sp_sm_15_ctg022_31002, whole genome shotgun sequence
NZ_BJKF01000026.1    -         Sodium               RF03071    cm        3       28    10197    10219      +    no    1 0.30   0.0   13.0   1.2e+03 ?   Acinetobacter baumannii strain NIPH17_0019 contig_26, whole genome shotgun sequence
NZ_PUGH01000112.1    -         Sodium               RF03071    cm        1       55      179      248      +    no    1 0.39   0.0   13.0   1.2e+03 ?   Klebsiella quasipneumoniae strain YH17268 NODE_194_length_450_cov_0.721362, whole genome shotgun sequence
NZ_MOSX01000001.1    -         Sodium               RF03071    cm        1       55   861138   861077      -    no    1 0.24   0.3   13.0   1.2e+03 ?   Clostridioides difficile strain 6607-DH/ST42 6607_contig000001, whole genome shotgun sequence
NZ_JAAKAK010000005.1 -         Sodium               RF03071    cm        1       55    64579    64625      +    no    1 0.40   0.0   13.0   1.2e+03 ?   Campylobacter coli strain 600001 600001_5, whole genome shotgun sequence
NZ_QYUU01000005.1    -         Sodium               RF03071    cm        1       55    65448    65494      +    no    1 0.40   0.0   13.0   1.2e+03 ?   Campylobacter coli strain F8 Contig_5, whole genome shotgun sequence
NZ_VUMV01000003.1    -         Sodium               RF03071    cm       31       55   295290   295268      -    no    1 0.43   0.0   13.0   1.3e+03 ?   Bilifractor porci strain Oil+RF-744-WCA-WT-13 seq3, whole genome shotgun sequence
NZ_VEAA01000050.1    -         Sodium               RF03071    cm       40       55        1       16      +    5'    2 0.50   0.0   13.0   1.3e+03 ?   Bacillus mycoides strain DE0345 NODE_50_length_1294_cov_1.776604, whole genome shotgun sequence
NZ_JTCJ01001609.1    -         Sodium               RF03071    cm        1       55      127      180      +    no    1 0.43   0.0   13.0   1.3e+03 ?   Pseudomonas putida strain SQ1 Contig_1471_PpSQ1, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         Sodium               RF03071    cm        1       55  2440422  2440385      -    no    1 0.42   0.0   13.0   1.3e+03 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_CABEFZ010000070.1 -         Sodium               RF03071    cm        1       55   327817   327755      -    no    1 0.56   0.0   12.9   1.3e+03 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_ANMM01000055.1    -         Sodium               RF03071    cm        1       55      768      806      +    no    1 0.36   0.0   12.9   1.3e+03 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp225 contig00057, whole genome shotgun sequence
NZ_JAKETK010000010.1 -         Sodium               RF03071    cm        1       55    20289    20244      -    no    1 0.35   0.0   12.9   1.3e+03 ?   Terrisporobacter glycolicus strain WW3900 TerrGly2WW010522_contig_10, whole genome shotgun sequence
NZ_LSIL01000093.1    -         Sodium               RF03071    cm        1       55      247      193      -    no    1 0.20   1.0   12.9   1.3e+03 ?   Chryseobacterium sp. CCH4-E10 CCH4-E10_contig93, whole genome shotgun sequence
NZ_ANML01000024.1    -         Sodium               RF03071    cm        1       55    38834    38880      +    no    1 0.40   0.0   12.9   1.3e+03 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp223 contig00027, whole genome shotgun sequence
NZ_QRVY01000001.1    -         Sodium               RF03071    cm        1       55   112235   112338      +    no    1 0.48   0.0   12.9   1.3e+03 ?   Ruminococcus bromii strain AF21-10LB AF21-10LB.Scaf1, whole genome shotgun sequence
NZ_BDGQ01000024.1    -         Sodium               RF03071    cm        1       55    51797    51736      -    no    1 0.47   0.0   12.9   1.3e+03 ?   Thaumasiovibrio subtropicus strain C4V358, whole genome shotgun sequence
NZ_AAJT02000201.1    -         Sodium               RF03071    cm        1       55      284      237      -    no    1 0.40   0.0   12.9   1.4e+03 ?   Escherichia coli B7A gcontig_1112495745490, whole genome shotgun sequence
NZ_JAJTSD010000104.1 -         Sodium               RF03071    cm       37       54      375      358      -    no    1 0.28   0.0   12.9   1.4e+03 ?   Escherichia coli strain E-T789-1 NODE_104_length_869_cov_34.808081, whole genome shotgun sequence
NZ_ACEQ02000018.1    -         Sodium               RF03071    cm        1       55    11728    11783      +    no    1 0.45   0.0   12.9   1.4e+03 ?   Neisseria lactamica ATCC 23970 N_lactamica-1.0.2_Cont17.1, whole genome shotgun sequence
NZ_LTBH01000018.1    -         Sodium               RF03071    cm        1       55   113206   113247      +    no    1 0.60   0.0   12.8   1.4e+03 ?   Corynebacterium striatum strain 2247 mira_20_len_T_191169, whole genome shotgun sequence
NZ_LBCN01000004.1    -         Sodium               RF03071    cm        1       55   103887   103928      +    no    1 0.60   0.0   12.8   1.4e+03 ?   Corynebacterium striatum strain 2023 Consensus_from_Contig_5_mapping, whole genome shotgun sequence
NZ_BDGQ01000100.1    -         Sodium               RF03071    cm        1       55    10618    10649      +    no    1 0.41   0.0   12.8   1.4e+03 ?   Thaumasiovibrio subtropicus strain C4V358, whole genome shotgun sequence
NZ_RDOQ01001381.1    -         Sodium               RF03071    cm        1       55      160      132      -    no    1 0.55   0.0   12.8   1.4e+03 ?   Vibrio anguillarum strain 9006-4/1 contig_1387, whole genome shotgun sequence
NZ_AWWY01000124.1    -         Sodium               RF03071    cm        1       55    50692    50660      -    no    1 0.36   0.0   12.8   1.4e+03 ?   Vibrio mimicus CAIM 1882 contig00145, whole genome shotgun sequence
NZ_AWWL01000125.1    -         Sodium               RF03071    cm        1       55    50727    50695      -    no    1 0.36   0.0   12.8   1.4e+03 ?   Vibrio mimicus CAIM 1883 contig00142, whole genome shotgun sequence
NZ_RBQB01000132.1    -         Sodium               RF03071    cm        1       55      105       16      -    no    1 0.48   0.0   12.8   1.4e+03 ?   Pseudomonas syringae pv. philadelphi strain ICMP 8902 PpdICMP8902_Contig_1224, whole genome shotgun sequence
NZ_PVLK01000001.1    -         Sodium               RF03071    cm        1       55    52207    52242      +    no    1 0.42   0.0   12.8   1.4e+03 ?   Streptococcus agalactiae strain SA12AQUAVET NODE_1_length_212790_cov_23.0606, whole genome shotgun sequence
NZ_JAGTPX010000007.1 -         Sodium               RF03071    cm        1       55   158400   158342      -    no    1 0.31   0.0   12.8   1.4e+03 ?   Niallia circulans strain DC10 Contig_7_Bacillus, whole genome shotgun sequence
NZ_NNIT01000698.1    -         Sodium               RF03071    cm        1       55       16       54      +    no    1 0.38   0.0   12.8   1.5e+03 ?   Vibrio parahaemolyticus strain D6_2 D6_2_contig698, whole genome shotgun sequence
NZ_SZQV01000123.1    -         Sodium               RF03071    cm        1       55      146      108      -    no    1 0.38   0.0   12.8   1.5e+03 ?   Vibrio parahaemolyticus strain HZ18-094 contig00123, whole genome shotgun sequence
NZ_SZRV01000094.1    -         Sodium               RF03071    cm        1       55      813      851      +    no    1 0.38   0.0   12.8   1.5e+03 ?   Vibrio parahaemolyticus strain HZ17-125 contig00094, whole genome shotgun sequence
NZ_SZTD01000107.1    -         Sodium               RF03071    cm        1       55      843      881      +    no    1 0.38   0.0   12.8   1.5e+03 ?   Vibrio parahaemolyticus strain HZ14-064 contig00107, whole genome shotgun sequence
NZ_JPGN01000019.1    -         Sodium               RF03071    cm        1       55     7399     7463      +    no    1 0.63   0.0   12.7   1.5e+03 ?   Nitrosococcus oceani C-27 contig_64, whole genome shotgun sequence
NZ_CABJMX010000018.1 -         Sodium               RF03071    cm        1       55    48532    48484      -    no    1 0.41   0.0   12.7   1.5e+03 ?   Lachnospira eligens isolate MGYG-HGUT-00187, whole genome shotgun sequence
NZ_JAHBMW010000026.1 -         Sodium               RF03071    cm        1       55       94      137      +    no    1 0.50   0.0   12.7   1.5e+03 ?   Vibrio cholerae strain TDS0063486 NODE_142_length_272_cov_1.26554_ID_283, whole genome shotgun sequence
NZ_QQQX01000003.1    -         Sodium               RF03071    cm        1       55    36590    36543      -    no    1 0.21   0.2   12.7   1.5e+03 ?   Mesomycoplasma hyopneumoniae strain MHP699 Mhp699_3_length_63869_cov_14.5329, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         Sodium               RF03071    cm        1       55  2575722  2575633      -    no    1 0.38   0.0   12.7   1.5e+03 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_JACBCR010000037.1 -         Sodium               RF03071    cm        1       55      152      224      +    no    1 0.22   2.9   12.7   1.5e+03 ?   Clostridium botulinum strain CC4A-KM61-1 38, whole genome shotgun sequence
NZ_VIXQ01000106.1    -         Sodium               RF03071    cm        1       55      567      502      -    no    1 0.29   0.1   12.7   1.5e+03 ?   Klebsiella pneumoniae strain AH3176-11 NODE_115_length_1153_cov_0.321637, whole genome shotgun sequence
NZ_CAKZ01000172.1    -         Sodium               RF03071    cm        1       55    18476    18437      -    no    1 0.45   0.0   12.7   1.5e+03 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_MCWV02000002.1    -         Sodium               RF03071    cm        1       55   104442   104380      -    no    1 0.40   0.0   12.7   1.5e+03 ?   Vibrio lentus strain 10N.261.55.C8 10N26155C8_1, whole genome shotgun sequence
NZ_LOHX01000238.1    -         Sodium               RF03071    cm        1       42      205      244      +    3'    3 0.17   1.1   12.7   1.5e+03 ?   Streptobacillus felis strain 131000547 B14-2013_CLC_contig_335, whole genome shotgun sequence
NZ_QPKP01000157.1    -         Sodium               RF03071    cm        1       55      142      103      -    no    1 0.28   0.4   12.7   1.5e+03 ?   Bacillus anthracis strain UT308 NODE_161_length_350_cov_0.849817_ID_9477, whole genome shotgun sequence
NZ_JACRWA010000972.1 -         Sodium               RF03071    cm       37       54      202      220      +    no    1 0.42   0.0   12.7   1.5e+03 ?   Gluconobacter sp. P5E12 scaffold972.1, whole genome shotgun sequence
NZ_SEIL01000048.1    -         Sodium               RF03071    cm       36       55    21365    21346      -    no    1 0.30   0.0   12.7   1.5e+03 ?   Acinetobacter lwoffii strain AL_065 NODE_47_length_25892_cov_30.724, whole genome shotgun sequence
NZ_JPZA01000460.1    -         Sodium               RF03071    cm        1       55      585      623      +    no    1 0.38   0.0   12.7   1.5e+03 ?   Avibacterium paragallinarum strain Modesto contig00685, whole genome shotgun sequence
NZ_VNXL01000440.1    -         Sodium               RF03071    cm       37       54      203      186      -    no    1 0.39   0.0   12.7   1.5e+03 ?   Escherichia coli strain HH26H NODE_444_length_284_cov_1.072464, whole genome shotgun sequence
NZ_JPZA01000404.1    -         Sodium               RF03071    cm        1       55    14036    14005      -    no    1 0.38   0.0   12.7   1.5e+03 ?   Avibacterium paragallinarum strain Modesto contig00624, whole genome shotgun sequence
NZ_AWWY01000131.1    -         Sodium               RF03071    cm       37       54    48904    48921      +    no    1 0.56   0.0   12.7   1.5e+03 ?   Vibrio mimicus CAIM 1882 contig00152, whole genome shotgun sequence
NZ_VWYC01000001.1    -         Sodium               RF03071    cm       37       54    75314    75331      +    no    1 0.56   0.0   12.7   1.5e+03 ?   Vibrio mimicus strain ATCC 33654 contig1, whole genome shotgun sequence
NZ_AWWL01000131.1    -         Sodium               RF03071    cm       37       54    53562    53579      +    no    1 0.56   0.0   12.7   1.5e+03 ?   Vibrio mimicus CAIM 1883 contig00148, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         Sodium               RF03071    cm        1       55  4285803  4285747      -    no    1 0.39   0.0   12.7   1.5e+03 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_AFUQ01000001.1    -         Sodium               RF03071    cm        1       55   780830   780870      +    no    1 0.37   0.0   12.7   1.5e+03 ?   Streptococcus infantis X Contig83, whole genome shotgun sequence
NZ_BDGP01000181.1    -         Sodium               RF03071    cm        1       55    20429    20486      +    no    1 0.53   0.0   12.7   1.5e+03 ?   Thaumasiovibrio occultus strain C4II189, whole genome shotgun sequence
NZ_BDGP01000072.1    -         Sodium               RF03071    cm        1       55    11009    11039      +    no    1 0.52   0.0   12.7   1.5e+03 ?   Thaumasiovibrio occultus strain C4II189, whole genome shotgun sequence
NZ_BDGP01000173.1    -         Sodium               RF03071    cm        1       55    37142    37104      -    no    1 0.44   0.0   12.7   1.5e+03 ?   Thaumasiovibrio occultus strain C4II189, whole genome shotgun sequence
NZ_VEMB01000942.1    -         Sodium               RF03071    cm        1       55      135       78      -    no    1 0.33   0.0   12.7   1.5e+03 ?   Bacillus tropicus strain DE0099 NODE_942_length_256_cov_1.027933, whole genome shotgun sequence
NZ_ANMJ01000050.1    -         Sodium               RF03071    cm        1       55    14311    14264      -    no    1 0.40   0.0   12.7   1.5e+03 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp46 contig00055, whole genome shotgun sequence
NZ_BDGP01000059.1    -         Sodium               RF03071    cm        1       55    34490    34435      -    no    1 0.34   0.0   12.7   1.5e+03 ?   Thaumasiovibrio occultus strain C4II189, whole genome shotgun sequence
NZ_CABMIR010000021.1 -         Sodium               RF03071    cm        1       55    68863    68814      -    no    1 0.58   0.0   12.6   1.6e+03 ?   Vibrio metoecus isolate MGYG-HGUT-02368, whole genome shotgun sequence
NZ_LCUD01000021.1    -         Sodium               RF03071    cm        1       55    68863    68814      -    no    1 0.58   0.0   12.6   1.6e+03 ?   Vibrio metoecus strain 06-2478, whole genome shotgun sequence
NZ_MOLL01000062.1    -         Sodium               RF03071    cm        1       55     3680     3631      -    no    1 0.58   0.0   12.6   1.6e+03 ?   Vibrio cholerae strain DL4211 Contig_104, whole genome shotgun sequence
NZ_MOLM01000011.1    -         Sodium               RF03071    cm        1       55   228002   228051      +    no    1 0.58   0.0   12.6   1.6e+03 ?   Vibrio cholerae strain DL4215 AB_SE_12_CTTGTA_L008_R2_001_(paired)_contig_11, whole genome shotgun sequence
NZ_VUMV01000001.1    -         Sodium               RF03071    cm        1       55    69679    69728      +    no    1 0.42   0.0   12.6   1.6e+03 ?   Bilifractor porci strain Oil+RF-744-WCA-WT-13 seq1, whole genome shotgun sequence
NZ_NROH01000098.1    -         Sodium               RF03071    cm        1       55      160      114      -    no    1 0.34   0.0   12.6   1.6e+03 ?   Cronobacter dublinensis strain cro3314A3-1 contig98, whole genome shotgun sequence
NZ_JAAKAK010000003.1 -         Sodium               RF03071    cm        1       55    24923    24954      +    no    1 0.59   0.0   12.6   1.6e+03 ?   Campylobacter coli strain 600001 600001_3, whole genome shotgun sequence
NZ_JAAQZO010000348.1 -         Sodium               RF03071    cm        1       55      279      310      +    no    1 0.59   0.0   12.6   1.6e+03 ?   Campylobacter coli strain 13 contig_350, whole genome shotgun sequence
NZ_NXGO01000041.1    -         Sodium               RF03071    cm        1       55    30070    30032      -    no    1 0.36   0.0   12.6   1.6e+03 ?   Candidatus Hodgkinia cicadicola strain MAGTDC contig_15, whole genome shotgun sequence
NZ_CZIY01000259.1    -         Sodium               RF03071    cm        1       55       29       87      +    no    1 0.49   0.0   12.6   1.6e+03 ?   Campylobacter jejuni strain Campylobacter jejuni isolate NECK SKIN, whole genome shotgun sequence
NZ_JTCJ01000641.1    -         Sodium               RF03071    cm        1       55      151      227      +    no    1 0.44   0.0   12.6   1.6e+03 ?   Pseudomonas putida strain SQ1 Contig_1452_PpSQ1, whole genome shotgun sequence
NZ_PVLK01000009.1    -         Sodium               RF03071    cm        3       28      623      647      +    no    1 0.16   0.0   12.6   1.6e+03 ?   Streptococcus agalactiae strain SA12AQUAVET NODE_9_length_65838_cov_19.2048, whole genome shotgun sequence
NZ_MSCZ01000029.1    -         Sodium               RF03071    cm        1       55    73263    73231      -    no    1 0.39   0.0   12.6   1.6e+03 ?   Acinetobacter baumannii strain 11598 scaffold15, whole genome shotgun sequence
NZ_PRGG01000036.1    -         Sodium               RF03071    cm        1       55    74404    74372      -    no    1 0.39   0.0   12.6   1.6e+03 ?   Acinetobacter baumannii strain AB-HZ-S15 sp_sm_15_ctg036_462575, whole genome shotgun sequence
NZ_BJKF01000021.1    -         Sodium               RF03071    cm        1       55     1317     1285      -    no    1 0.39   0.0   12.6   1.6e+03 ?   Acinetobacter baumannii strain NIPH17_0019 contig_21, whole genome shotgun sequence
NZ_JAFLNV010000849.1 -         Sodium               RF03071    cm        1       55       63       20      -    no    1 0.52   0.0   12.6   1.6e+03 ?   Vibrio parahaemolyticus strain Vb2188 NODE_889_length_237_cov_0.912500, whole genome shotgun sequence
NZ_MNPM02000006.1    -         Sodium               RF03071    cm        1       55    32156    32118      -    no    1 0.31   0.0   12.6   1.6e+03 ?   Mastigocladus laminosus UU774 scaffold_5, whole genome shotgun sequence
NZ_AVEV01000092.1    -         Sodium               RF03071    cm        1       55     1946     1983      +    no    1 0.61   0.0   12.6   1.6e+03 ?   Xanthomonas campestris pv. campestris str. CFBP 1124 Xcc-CFBP1124-G1069-1, whole genome shotgun sequence
NZ_MNPM02000028.1    -         Sodium               RF03071    cm        1       55    48779    48834      +    no    1 0.29   0.0   12.5   1.7e+03 ?   Mastigocladus laminosus UU774 scaffold_27, whole genome shotgun sequence
NZ_LANV01000001.1    -         Sodium               RF03071    cm        1       55   583668   583624      -    no    1 0.44   0.0   12.5   1.7e+03 ?   Anaplasma phagocytophilum str. ApMUC09 apMUC09.contig.0_1, whole genome shotgun sequence
NZ_CABMIR010000022.1 -         Sodium               RF03071    cm        1       55    29308    29252      -    no    1 0.49   0.0   12.5   1.7e+03 ?   Vibrio metoecus isolate MGYG-HGUT-02368, whole genome shotgun sequence
NZ_LCUD01000022.1    -         Sodium               RF03071    cm        1       55    29308    29252      -    no    1 0.49   0.0   12.5   1.7e+03 ?   Vibrio metoecus strain 06-2478, whole genome shotgun sequence
NZ_MRZP01000007.1    -         Sodium               RF03071    cm        1       55    65688    65717      +    no    1 0.37   0.0   12.5   1.7e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_7_length_140034_cov_73.9389_ID_13, whole genome shotgun sequence
NZ_SRKT01000003.1    -         Sodium               RF03071    cm        1       55   239788   239838      +    no    1 0.22   1.1   12.5   1.7e+03 ?   Flavobacterium columnare strain 1723 contig3, whole genome shotgun sequence
NZ_CABEFZ010000066.1 -         Sodium               RF03071    cm        1       55    82708    82648      -    no    1 0.62   0.0   12.5   1.7e+03 ?   Desulfosarcina cetonica strain xyz, whole genome shotgun sequence
NZ_MSCZ01000034.1    -         Sodium               RF03071    cm        1       55   169623   169670      +    no    1 0.29   0.0   12.5   1.7e+03 ?   Acinetobacter baumannii strain 11598 scaffold3_2, whole genome shotgun sequence
NZ_PRGG01000036.1    -         Sodium               RF03071    cm        1       55   403355   403402      +    no    1 0.29   0.0   12.5   1.7e+03 ?   Acinetobacter baumannii strain AB-HZ-S15 sp_sm_15_ctg036_462575, whole genome shotgun sequence
NZ_MKXL02000087.1    -         Sodium               RF03071    cm        1       55      496      530      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis strain 14-106904-1 14-106904-1_S15_L001_R1_001_15_P_trim_contig_87, whole genome shotgun sequence
NZ_SRKB01000027.1    -         Sodium               RF03071    cm        1       55      199      233      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis strain 143 NODE_37_length_216_cov_72.930557, whole genome shotgun sequence
NZ_JGCS01000259.1    -         Sodium               RF03071    cm        1       55      369      403      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. 3783N1-2 gbf3783N12.contig.259, whole genome shotgun sequence
NZ_JGDG01000509.1    -         Sodium               RF03071    cm        1       55      392      426      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. Ds-233 gbfDs233.contig.522, whole genome shotgun sequence
NZ_JGCT01000245.1    -         Sodium               RF03071    cm        1       55      430      464      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. 3783N2-1 gbf3783N21.contig.246, whole genome shotgun sequence
NZ_JGCU01000256.1    -         Sodium               RF03071    cm        1       55      430      464      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. 3976T7 gbf3976T7.contig.258, whole genome shotgun sequence
NZ_JGDR01000080.1    -         Sodium               RF03071    cm        1       55      808      842      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. 3783N1-8 gbf3783N18.contig.79, whole genome shotgun sequence
NZ_JGDH01000133.1    -         Sodium               RF03071    cm        1       55      443      477      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. J-143-4 gbfJ1434.contig.132, whole genome shotgun sequence
NZ_JGDT01000195.1    -         Sodium               RF03071    cm        1       55      236      270      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacteroides fragilis str. 3-F-2 #6 gbf3F26.contig.196, whole genome shotgun sequence
NZ_WJCQ01000617.1    -         Sodium               RF03071    cm        1       55       28       88      +    no    1 0.46   0.0   12.5   1.7e+03 ?   Bacillus thuringiensis strain 4L1 NODE_967_length_278_cov_0.512438, whole genome shotgun sequence
NZ_AKBW01000001.1    -         Sodium               RF03071    cm        1       55    29800    29731      -    no    1 0.36   0.0   12.5   1.7e+03 ?   Streptococcus pneumoniae TIGR4 chromosome, whole genome shotgun sequence
NZ_MOSX01000003.1    -         Sodium               RF03071    cm        1       55   330765   330682      -    no    1 0.29   1.7   12.5   1.7e+03 ?   Clostridioides difficile strain 6607-DH/ST42 6607_contig000003, whole genome shotgun sequence
NZ_MCWV02000001.1    -         Sodium               RF03071    cm        1       55  1167559  1167605      +    no    1 0.43   0.0   12.5   1.7e+03 ?   Vibrio lentus strain 10N.261.55.C8 10N26155C8_0, whole genome shotgun sequence
NZ_PXKX01000176.1    -         Sodium               RF03071    cm        1       55       75       40      -    no    1 0.19   0.1   12.5   1.7e+03 ?   Klebsiella aerogenes strain CRE27 NODE_176_length_219_cov_0.810976, whole genome shotgun sequence
