#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_HG916765.1        -         nhaA-I               RF03057    cm        1       55  1776517  1776462      -    no    1 0.75   0.1   48.6   0.00038 !   Castellaniella defragrans 65Phen chromosome I, complete sequence
NZ_CAJPVI010000033.1 -         nhaA-I               RF03057    cm        1       55    33041    33099      +    no    1 0.64   0.0   48.6   0.00039 !   Cupriavidus numazuensis strain LMG 26411 isolate LMG 26411, whole genome shotgun sequence
NZ_CAAHFG010000001.1 -         nhaA-I               RF03057    cm        1       55  1085877  1085935      +    no    1 0.73   0.1   48.5    0.0004 !   Pontiella desulfatans strain F1(T), whole genome shotgun sequence
NZ_SMFY01000002.1    -         nhaA-I               RF03057    cm        1       55  1279096  1279042      -    no    1 0.64   0.0   48.4   0.00042 !   Ancylobacter aquaticus strain DSM 101 Ga0310526_102, whole genome shotgun sequence
NZ_JAJSPR010000043.1 -         nhaA-I               RF03057    cm        1       55     7866     7804      -    no    1 0.67   0.0   48.4   0.00042 !   Pseudomonas alloputida strain NMI2441_06 NODE_43_length_54964_cov_52.7501, whole genome shotgun sequence
NZ_JACHHM010000001.1 -         nhaA-I               RF03057    cm        1       55   140432   140487      +    no    1 0.70   0.0   48.4   0.00042 !   Parapusillimonas granuli strain DSM 18079 Ga0415245_01, whole genome shotgun sequence
NZ_FOIB01000013.1    -         nhaA-I               RF03057    cm        1       55   122384   122338      -    no    1 0.70   0.0   48.4   0.00042 !   Myxococcus fulvus strain DSM 16525, whole genome shotgun sequence
NZ_CP044491.1        -         nhaA-I               RF03057    cm        1       55     5229     5179      -    no    1 0.51   0.0   48.4   0.00043 !   Acinetobacter schindleri strain HZE30-1 plasmid pHZE30-1-8, complete sequence
NZ_RAXU01000038.1    -         nhaA-I               RF03057    cm        1       55     9903     9853      -    no    1 0.55   0.0   48.4   0.00043 !   Acinetobacter guerrae strain WCHAc060096 38, whole genome shotgun sequence
NZ_FOOC01000003.1    -         nhaA-I               RF03057    cm        1       55   196363   196414      +    no    1 0.67   0.0   48.4   0.00043 !   Fontimonas thermophila strain DSM 23609, whole genome shotgun sequence
NZ_CP083451.1        -         nhaA-I               RF03057    cm        1       55  3465116  3465169      +    no    1 0.69   0.0   48.3   0.00045 !   Comamonas odontotermitis strain WLL chromosome, complete genome
NZ_UWPJ01000031.1    -         nhaA-I               RF03057    cm        1       55     2723     2668      -    no    1 0.68   0.0   48.3   0.00045 !   Pigmentiphaga humi isolate dnA1, whole genome shotgun sequence
NZ_QPJK01000004.1    -         nhaA-I               RF03057    cm        1       55   128241   128294      +    no    1 0.78   0.2   48.3   0.00045 !   Pseudorhodoferax soli strain DSM 21634 Ga0244542_104, whole genome shotgun sequence
NZ_FNQJ01000013.1    -         nhaA-I               RF03057    cm        1       55    20527    20579      +    no    1 0.74   0.0   48.3   0.00045 !   Acidovorax soli strain DSM 25157, whole genome shotgun sequence
NZ_WHJG01000015.1    -         nhaA-I               RF03057    cm        1       55    14911    14862      -    no    1 0.66   0.0   48.3   0.00045 !   Massilia frigida strain CCM 8695 NODE_15_length_153382_cov_7.680200, whole genome shotgun sequence
NZ_CP065053.1        -         nhaA-I               RF03057    cm        1       55  5365958  5365909      -    no    1 0.66   0.0   48.3   0.00045 !   Massilia antarctica strain P9640 chromosome, complete genome
NZ_CP011125.1        -         nhaA-I               RF03057    cm        1       55  9710800  9710751      -    no    1 0.80   0.6   48.3   0.00045 !   Sandaracinus amylolyticus strain DSM 53668 chromosome, complete genome
NZ_CP060035.1        -         nhaA-I               RF03057    cm        1       55   201372   201314      -    no    1 0.71   0.3   48.2   0.00047 !   Sphingobium fuliginis strain KK22 chromosome 1, complete sequence
NZ_JACYOX010000036.1 -         nhaA-I               RF03057    cm        1       55    44111    44060      -    no    1 0.65   0.0   48.2   0.00047 !   Noviherbaspirillum soli strain SUEMI10 Scaffold34_1, whole genome shotgun sequence
NZ_JYLN01000001.1    -         nhaA-I               RF03057    cm        1       55    97152    97214      +    no    1 0.60   0.0   48.1   0.00049 !   Pseudomonas paralactis strain DSM 29164 1_884981_17.7329, whole genome shotgun sequence
NZ_VPFD01000009.1    -         nhaA-I               RF03057    cm        1       55    44028    43975      -    no    1 0.70   0.0   48.1   0.00049 !   Massilia sp. GEM5 GEM5_9, whole genome shotgun sequence
NZ_BCTJ01000006.1    -         nhaA-I               RF03057    cm        1       55   108359   108307      -    no    1 0.70   0.0   48.1   0.00049 !   Hydrogenophaga palleronii NBRC 102513, whole genome shotgun sequence
NZ_AEGR01000040.1    -         nhaA-I               RF03057    cm        1       55    40254    40304      +    no    1 0.76   0.1   48.1    0.0005 !   Hylemonella gracilis ATCC 19624 Contig20, whole genome shotgun sequence
NZ_JHYR01000023.1    -         nhaA-I               RF03057    cm        1       55    43217    43159      -    no    1 0.71   0.1   48.1    0.0005 !   Thauera linaloolentis 47Lol = DSM 12138 Q393DRAFT_scaffold00022.22_C, whole genome shotgun sequence
NZ_WHJH01000024.1    -         nhaA-I               RF03057    cm        1       55    52749    52798      +    no    1 0.68   0.0   48.1    0.0005 !   Massilia mucilaginosa strain CCM 8733 NODE_24_length_92949_cov_5.717492, whole genome shotgun sequence
NZ_PVLQ01000038.1    -         nhaA-I               RF03057    cm        1       55    14693    14639      -    no    1 0.73   0.1   48.1   0.00051 !   Malikia granosa strain P1 contig_38, whole genome shotgun sequence
NZ_RYEV01000009.1    -         nhaA-I               RF03057    cm        1       55   322415   322362      -    no    1 0.67   0.0   48.1   0.00051 !   Steroidobacter soli strain JW-3 Scaffold8_1, whole genome shotgun sequence
NC_008781.1          -         nhaA-I               RF03057    cm        1       55  3149355  3149412      +    no    1 0.69   0.0   48.1   0.00051 !   Polaromonas naphthalenivorans CJ2, complete sequence
NZ_CP021359.1        -         nhaA-I               RF03057    cm        1       55  1257546  1257494      -    no    1 0.75   0.0   48.1   0.00051 !   Acidovorax carolinensis strain NA2 chromosome, complete genome
NZ_JAAVUP010000001.1 -         nhaA-I               RF03057    cm        1       55  1209887  1209836      -    no    1 0.73   0.1   48.0   0.00052 !   Roseomonas oryzicola strain KCTC 22478 Scaffold1, whole genome shotgun sequence
NZ_LLYB01000071.1    -         nhaA-I               RF03057    cm        1       55   367181   367233      +    no    1 0.66   0.0   48.0   0.00053 !   Bradyrhizobium lablabi strain CCBAU 23086 scaffold4, whole genome shotgun sequence
NZ_VYKJ01000002.1    -         nhaA-I               RF03057    cm        1       55   166241   166301      +    no    1 0.59   0.0   47.9   0.00055 !   Affinibrenneria salicis strain L3-3HA Scaffold2, whole genome shotgun sequence
NZ_CP014137.1        -         nhaA-I               RF03057    cm        1       55  2552877  2552817      -    no    1 0.59   0.0   47.9   0.00056 !   Brenneria goodwinii strain FRB141 chromosome, complete genome
NZ_KI912268.1        -         nhaA-I               RF03057    cm        1       55   927268   927218      -    no    1 0.65   0.0   47.9   0.00056 !   Holophaga foetida DSM 6591 HolfoDRAFT_HFA.1, whole genome shotgun sequence
NZ_CP077083.1        -         nhaA-I               RF03057    cm        1       55  1178901  1178963      +    no    1 0.57   0.0   47.9   0.00056 !   Pseudomonas salmasensis strain SWRI126 chromosome, complete genome
NZ_CP011371.1        -         nhaA-I               RF03057    cm        1       55  4195934  4195998      +    no    1 0.71   0.1   47.9   0.00057 !   Schlegelella brevitalea strain DSM 7029 chromosome, complete genome
NZ_CP073910.1        -         nhaA-I               RF03057    cm        1       55   176711   176660      -    no    1 0.67   0.0   47.9   0.00057 !   Sphingobium phenoxybenzoativorans strain Tas13 chromosome, complete genome
NZ_JABEQH010000006.1 -         nhaA-I               RF03057    cm        1       55   162070   162125      +    no    1 0.79   2.3   47.8   0.00058 !   Gluconacetobacter johannae strain LMG 21312 contig00006, whole genome shotgun sequence
NZ_BCZE01000015.1    -         nhaA-I               RF03057    cm        1       55    58166    58104      -    no    1 0.71   0.1   47.8   0.00059 !   Novosphingobium rosa NBRC 15208, whole genome shotgun sequence
NZ_CP063456.1        -         nhaA-I               RF03057    cm        1       55   868603   868541      -    no    1 0.68   0.0   47.8   0.00059 !   Pseudomonas shirazica strain A28 chromosome, complete genome
NZ_BLJF01000001.1    -         nhaA-I               RF03057    cm        1       55  3591635  3591697      +    no    1 0.68   0.0   47.8   0.00059 !   Pseudomonas asiatica strain RYU5 RYU5_unitig_0, whole genome shotgun sequence
NZ_VYQA01000008.1    -         nhaA-I               RF03057    cm        1       55    58807    58751      -    no    1 0.63   0.0   47.8   0.00059 !   Sphingobium limneticum strain KACC 19283 contig8, whole genome shotgun sequence
NZ_JAEIKQ010000036.1 -         nhaA-I               RF03057    cm        1       55    56258    56320      +    no    1 0.59   0.0   47.8   0.00061 !   Pseudomonas carnis strain S1_2A YA0719_36, whole genome shotgun sequence
NZ_JACOFZ010000001.1 -         nhaA-I               RF03057    cm        1       55  1704608  1704558      -    no    1 0.61   0.0   47.7   0.00062 !   Undibacterium nitidum strain LX22W NODE_1_length_1785884_cov_59.299433_1, whole genome shotgun sequence
NZ_CP012676.1        -         nhaA-I               RF03057    cm        1       55  3219561  3219620      +    no    1 0.65   0.0   47.7   0.00062 !   Pseudomonas versuta strain L10.10 chromosome, complete genome
NZ_CAJFCK010000001.1 -         nhaA-I               RF03057    cm        1       55  3688897  3688956      +    no    1 0.65   0.0   47.7   0.00062 !   Pseudomonas paraversuta strain UBT376, whole genome shotgun sequence
NZ_CP016440.1        -         nhaA-I               RF03057    cm        1       55  2591928  2591983      +    no    1 0.68   0.0   47.6   0.00065 !   Bordetella pseudohinzii strain HI4681 chromosome, complete genome
NZ_BMDI01000003.1    -         nhaA-I               RF03057    cm        1       55   201244   201191      -    no    1 0.56   0.0   47.6   0.00066 !   Oxalicibacterium faecigallinarum strain CCM 2767 sequence03, whole genome shotgun sequence
NZ_BJZU01000104.1    -         nhaA-I               RF03057    cm        1       55    31866    31809      -    no    1 0.76   0.3   47.6   0.00067 !   Methylobacterium oxalidis strain NBRC 107715 sequence104, whole genome shotgun sequence
NZ_JACIDY010000004.1 -         nhaA-I               RF03057    cm        1       55    80417    80476      +    no    1 0.63   0.0   47.5   0.00068 !   Novosphingobium fluoreni strain DSM 27568 Ga0373246_04, whole genome shotgun sequence
NZ_JACHXI010000024.1 -         nhaA-I               RF03057    cm        1       55    17041    17097      +    no    1 0.67   0.0   47.5   0.00069 !   Azomonas macrocytogenes strain CECT 4462 Ga0372387_24, whole genome shotgun sequence
NZ_NWVD01000011.1    -         nhaA-I               RF03057    cm        1       55     6552     6492      -    no    1 0.74   0.2   47.5    0.0007 !   Sphingomonas ginsenosidimutans strain KACC 14949 contig11, whole genome shotgun sequence
NZ_BMYT01000002.1    -         nhaA-I               RF03057    cm        1       55   171414   171466      +    no    1 0.66   0.0   47.5   0.00071 !   Undibacterium macrobrachii strain KCTC 23916 sequence02, whole genome shotgun sequence
NZ_JAGSPM010000002.1 -         nhaA-I               RF03057    cm        1       55   428146   428094      -    no    1 0.66   0.0   47.5   0.00071 !   Undibacterium baiyunense strain BYS107W NODE_2_length_577317_cov_43.140943, whole genome shotgun sequence
NZ_FOSV01000001.1    -         nhaA-I               RF03057    cm        1       55   584369   584314      -    no    1 0.79   1.9   47.4   0.00072 !   Methylorubrum salsuginis strain CGMCC 1.6474, whole genome shotgun sequence
NZ_BMPO01000001.1    -         nhaA-I               RF03057    cm        1       55   219031   219090      +    no    1 0.62   0.0   47.4   0.00073 !   Pseudomonas matsuisoli strain JCM 30078 sequence01, whole genome shotgun sequence
NZ_FMTP01000001.1    -         nhaA-I               RF03057    cm        1       55    52765    52819      +    no    1 0.64   0.0   47.4   0.00073 !   Ancylobacter rudongensis strain CGMCC 1.1761, whole genome shotgun sequence
NZ_KV575261.1        -         nhaA-I               RF03057    cm        1       55   483789   483737      -    no    1 0.47   0.0   47.4   0.00074 !   Acinetobacter gyllenbergii strain FMP01 scaffold1, whole genome shotgun sequence
NZ_RYFW01000004.1    -         nhaA-I               RF03057    cm        1       55   427227   427173      -    no    1 0.75   0.0   47.4   0.00074 !   Steroidobacter agariperforans strain KA5-B Scaffold4_1, whole genome shotgun sequence
NZ_CP054840.1        -         nhaA-I               RF03057    cm        1       55  3911751  3911802      +    no    1 0.65   0.0   47.4   0.00076 !   Acidovorax antarcticus strain 16-35-5 chromosome, complete genome
NZ_JACIDB010000007.1 -         nhaA-I               RF03057    cm        1       55    19018    19070      +    no    1 0.72   0.0   47.3   0.00076 !   Sphingomonas aquatilis strain DSM 15581 Ga0373217_07, whole genome shotgun sequence
NZ_CP060783.1        -         nhaA-I               RF03057    cm        1       55  3392758  3392696      -    no    1 0.71   0.1   47.3   0.00079 !   Diaphorobacter aerolatus strain KACC 16536 chromosome, complete genome
NZ_KN046795.1        -         nhaA-I               RF03057    cm        1       55  6702217  6702156      -    no    1 0.71   0.0   47.2   0.00081 !   Delftia acidovorans strain 2167 scaffold1, whole genome shotgun sequence
NZ_LCZH01000019.1    -         nhaA-I               RF03057    cm        1       55    63408    63347      -    no    1 0.71   0.0   47.2   0.00081 !   Delftia tsuruhatensis strain MTQ3 scaffold3_split7, whole genome shotgun sequence
NZ_CP065748.1        -         nhaA-I               RF03057    cm        1       55  5350310  5350249      -    no    1 0.71   0.0   47.2   0.00081 !   Delftia lacustris strain FDAARGOS_890 chromosome, complete genome
NZ_AP024145.1        -         nhaA-I               RF03057    cm        1       55  2396161  2396106      -    no    1 0.75   0.1   47.2   0.00082 !   Methylobacterium indicum strain VL1 chromosome, complete genome
NZ_CP043311.1        -         nhaA-I               RF03057    cm        1       55  3087568  3087624      +    no    1 0.67   0.0   47.2   0.00084 !   Pseudomonas lalkuanensis strain PE08 chromosome, complete genome
NZ_RZUL01000006.1    -         nhaA-I               RF03057    cm        1       55   116013   116070      +    no    1 0.66   0.0   47.1   0.00086 !   Sphingobium algorifonticola strain TLA-22 NODE_6_length_164963_cov_82, whole genome shotgun sequence
NZ_VTTH01000001.1    -         nhaA-I               RF03057    cm        1       55   653499   653556      +    no    1 0.69   0.0   47.1   0.00087 !   Lacisediminimonas profundi strain CHu64-6-4 Scaffold1_1, whole genome shotgun sequence
NZ_VZZK01000047.1    -         nhaA-I               RF03057    cm        1       55    34191    34248      +    no    1 0.78   1.0   47.1    0.0009 !   Methylobacterium soli strain YIM 48816 Scaffold47, whole genome shotgun sequence
NZ_VIFM01000190.1    -         nhaA-I               RF03057    cm        1       55     5333     5388      +    no    1 0.71   0.0   47.0   0.00094 !   Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis strain AM401 NODE_190_length_22706_cov_45.0853, whole genome shotgun sequence
NZ_SDQC01000005.1    -         nhaA-I               RF03057    cm        1       55   271760   271705      -    no    1 0.71   0.0   46.9   0.00097 !   Pusillimonas soli strain KCTC 22455 NODE_5_length_329123_cov_53.664425, whole genome shotgun sequence
NZ_LSRW01000022.1    -         nhaA-I               RF03057    cm        1       55    20473    20422      -    no    1 0.69   0.0   46.9   0.00099 !   Steroidobacter cummioxidans strain 35Y AUR_c22.22, whole genome shotgun sequence
NZ_BCZZ01000009.1    -         nhaA-I               RF03057    cm        1       55   174630   174688      +    no    1 0.73   0.0   46.9   0.00099 !   Pseudomonas flavescens NBRC 103044, whole genome shotgun sequence
NZ_JACOFW010000004.1 -         nhaA-I               RF03057    cm        1       55   119807   119859      +    no    1 0.64   0.0   46.8     0.001 !   Undibacterium seohonense strain KACC 16656 4, whole genome shotgun sequence
NZ_JAEUXJ010000033.1 -         nhaA-I               RF03057    cm        1       55     6206     6152      -    no    1 0.75   0.1   46.8    0.0011 !   Belnapia mucosa strain T6 NODE_33_length_28962_cov_279.603393, whole genome shotgun sequence
NZ_KE340379.1        -         nhaA-I               RF03057    cm        1       55   421651   421701      +    no    1 0.49   0.0   46.8    0.0011 !   Acinetobacter colistiniresistens strain NIPH 2036 acVBK-supercont1.4, whole genome shotgun sequence
NZ_LK391969.1        -         nhaA-I               RF03057    cm        1       55  1355731  1355788      +    no    1 0.57   0.0   46.7    0.0011 !   Pseudomonas saudimassiliensis strain 12M76_air
NZ_BMCT01000001.1    -         nhaA-I               RF03057    cm        1       55  1106459  1106403      -    no    1 0.63   0.0   46.7    0.0011 !   Azorhizobium oxalatiphilum strain CCM 7897 sequence01, whole genome shotgun sequence
NZ_AP012547.1        -         nhaA-I               RF03057    cm        1       55  1793594  1793654      +    no    1 0.56   0.0   46.7    0.0011 !   Sulfuritalea hydrogenivorans sk43H strain DSM 22779 chromosome, complete genome
NZ_VSSR01000037.1    -         nhaA-I               RF03057    cm        1       55    73959    73907      -    no    1 0.70   0.0   46.7    0.0011 !   Bradyrhizobium cytisi strain CTAW11 CTAW11_S1_R1__contig_38, whole genome shotgun sequence
NZ_SNZR01000011.1    -         nhaA-I               RF03057    cm        1       55   209441   209493      +    no    1 0.74   0.2   46.7    0.0011 !   Enterovirga rhinocerotis strain DSM 25903 Ga0310539_101, whole genome shotgun sequence
NZ_CADIKU010000009.1 -         nhaA-I               RF03057    cm        1       55   153810   153866      +    no    1 0.72   0.0   46.7    0.0011 !   Achromobacter animicus strain LMG 26691 isolate LMG 26691, whole genome shotgun sequence
NZ_BMZN01000004.1    -         nhaA-I               RF03057    cm        1       55   321823   321887      +    no    1 0.54   0.0   46.7    0.0011 !   Alcaligenes pakistanensis strain KCTC 42083 sequence04, whole genome shotgun sequence
NZ_NISI01000001.1    -         nhaA-I               RF03057    cm        1       55   485871   485820      -    no    1 0.79   0.5   46.6    0.0011 !   Pelomonas puraquae strain CCUG 52769 Scaffold1_1, whole genome shotgun sequence
NZ_JACAQV010000010.1 -         nhaA-I               RF03057    cm        1       55   334088   334149      +    no    1 0.58   0.0   46.6    0.0011 !   Pseudomonas salomonii strain IPO3765 IPO_3765_S40_L003_contig_10, whole genome shotgun sequence
NZ_JACAOZ010000015.1 -         nhaA-I               RF03057    cm        1       55    80741    80680      -    no    1 0.58   0.0   46.6    0.0011 !   Pseudomonas edaphica strain B7002 run0228_B7002_S27_L005_contig_15, whole genome shotgun sequence
NZ_CP013119.1        -         nhaA-I               RF03057    cm        1       55  3602669  3602604      -    no    1 0.56   0.0   46.6    0.0012 !   Alcaligenes faecalis strain ZD02 chromosome, complete genome
NZ_CP044543.1        -         nhaA-I               RF03057    cm        1       55   664037   663985      -    no    1 0.70   0.0   46.6    0.0012 !   Bradyrhizobium betae strain PL7HG1 chromosome, complete genome
NC_017082.1          -         nhaA-I               RF03057    cm        1       55  4569079  4569027      -    no    1 0.70   0.0   46.6    0.0012 !   Bradyrhizobium cosmicum, complete sequence
NZ_JAATTO010000022.1 -         nhaA-I               RF03057    cm        1       55    77098    77150      +    no    1 0.70   0.0   46.6    0.0012 !   Bradyrhizobium campsiandrae strain INPA 384B NODE_22_length_122703_cov_83.328266, whole genome shotgun sequence
NZ_BMCG01000005.1    -         nhaA-I               RF03057    cm        1       55   182594   182537      -    no    1 0.67   0.0   46.5    0.0012 !   Oxalicibacterium flavum strain CCM 7086 sequence5, whole genome shotgun sequence
NZ_WJBU01000011.1    -         nhaA-I               RF03057    cm        1       55   157425   157372      -    no    1 0.74   0.0   46.5    0.0012 !   Caenimonas koreensis DSM 17982 strain EMB320 Scaffold9_1, whole genome shotgun sequence
NZ_FQUZ01000029.1    -         nhaA-I               RF03057    cm        1       55     2918     2862      -    no    1 0.74   0.2   46.5    0.0012 !   Lampropedia hyalina DSM 16112, whole genome shotgun sequence
NZ_CP027723.1        -         nhaA-I               RF03057    cm        1       55  3643387  3643449      +    no    1 0.59   0.0   46.4    0.0013 !   Pseudomonas orientalis strain 8B chromosome, complete genome
NZ_VSSS01000126.1    -         nhaA-I               RF03057    cm        1       55     6616     6564      -    no    1 0.70   0.0   46.4    0.0013 !   Bradyrhizobium rifense strain CTAW71 CTAW71_S1_R1__contig_127, whole genome shotgun sequence
NZ_RXLQ01000001.1    -         nhaA-I               RF03057    cm        1       55   409149   409100      -    no    1 0.70   0.0   46.4    0.0013 !   Massilia atriviolacea strain SOD Scaffold1, whole genome shotgun sequence
NZ_AQUJ01000001.1    -         nhaA-I               RF03057    cm        1       55  2293390  2293439      +    no    1 0.72   0.1   46.4    0.0013 !   Sphingomonas melonis C3 SphmeDRAFT_contig1.1_C, whole genome shotgun sequence
NZ_LT629687.1        -         nhaA-I               RF03057    cm        1       55   463821   463880      +    no    1 0.70   0.0   46.4    0.0013 !   Pseudomonas koreensis strain LMG 21318 chromosome I
NZ_BQHY01000011.1    -         nhaA-I               RF03057    cm        1       55   187100   187159      +    no    1 0.70   0.0   46.4    0.0013 !   Pseudomonas parakoreensis strain BML-PP030 sequence011, whole genome shotgun sequence
NZ_KQ130452.1        -         nhaA-I               RF03057    cm        1       55   647592   647538      -    no    1 0.65   0.0   46.4    0.0013 !   Novosphingobium barchaimii LL02 25411_scaffold_01, whole genome shotgun sequence
NZ_JACHLP010000001.1 -         nhaA-I               RF03057    cm        1       55   192266   192209      -    no    1 0.67   0.0   46.3    0.0013 !   Paucibacter oligotrophus strain S00239 Ga0436337_01, whole genome shotgun sequence
NZ_JABWQV010000001.1 -         nhaA-I               RF03057    cm        1       55   175489   175547      +    no    1 0.68   0.0   46.3    0.0013 !   Pseudomonas tehranensis strain SWRI196 contig1, whole genome shotgun sequence
NC_010170.1          -         nhaA-I               RF03057    cm        1       55  2537258  2537202      -    no    1 0.70   0.0   46.3    0.0014 !   Bordetella petrii, complete sequence
NZ_VSSS01000078.1    -         nhaA-I               RF03057    cm        1       55     2379     2327      -    no    1 0.66   0.0   46.3    0.0014 !   Bradyrhizobium rifense strain CTAW71 CTAW71_S1_R1__contig_79, whole genome shotgun sequence
NZ_BMGG01000003.1    -         nhaA-I               RF03057    cm        1       55    31143    31087      -    no    1 0.67   0.0   46.3    0.0014 !   Chelatococcus reniformis strain CGMCC 1.12919 sequence03, whole genome shotgun sequence
NZ_JABWMJ010000001.1 -         nhaA-I               RF03057    cm        1       55   575776   575722      -    no    1 0.71   0.0   46.3    0.0014 !   Schlegelella koreensis strain ID0723 contig1, whole genome shotgun sequence
NZ_NVQC01000023.1    -         nhaA-I               RF03057    cm        1       55   133952   133894      -    no    1 0.63   0.0   46.3    0.0014 !   Candidatus Methylomirabilis limnetica strain Zug NODE_7_length_141300_cov_38.6939_ID_13, whole genome shotgun sequence
NZ_SULN01000002.1    -         nhaA-I               RF03057    cm        1       55   221240   221180      -    no    1 0.69   0.0   46.2    0.0014 !   Pseudomonas rhizoryzae strain ZYY160 contig2, whole genome shotgun sequence
NZ_JACHHZ010000001.1 -         nhaA-I               RF03057    cm        1       55   163161   163105      -    no    1 0.67   0.0   46.1    0.0015 !   Povalibacter uvarum strain DSM 26723 Ga0415266_01, whole genome shotgun sequence
NZ_CP091088.1        -         nhaA-I               RF03057    cm        1       55  1780619  1780564      -    no    1 0.66   0.0   46.1    0.0015 !   Pseudomonas juntendi strain PP_2463 chromosome, complete genome
NZ_CP024081.1        -         nhaA-I               RF03057    cm        1       55  4567568  4567509      -    no    1 0.67   0.0   46.0    0.0016 !   Pseudomonas rhizophila strain S211 chromosome
NZ_CP031146.1        -         nhaA-I               RF03057    cm        1       55   161147   161209      +    no    1 0.60   0.0   46.0    0.0016 !   Pseudomonas plecoglossicida strain XSDHY-P chromosome, complete genome
NZ_BLJN01000012.1    -         nhaA-I               RF03057    cm        1       55    49963    49909      -    no    1 0.73   0.0   46.0    0.0016 !   Steroidobacter agaridevorans strain YU21-B sequence12, whole genome shotgun sequence
NZ_JABWRP020000020.1 -         nhaA-I               RF03057    cm        1       55    75918    75857      -    no    1 0.61   0.0   46.0    0.0016 !   Pseudomonas vlassakiae strain RW4S2 20, whole genome shotgun sequence
NZ_BQIJ01000039.1    -         nhaA-I               RF03057    cm        1       55     3214     3153      -    no    1 0.61   0.0   46.0    0.0016 !   Pseudomonas urethralis strain BML-PP042 sequence39, whole genome shotgun sequence
NZ_RCHC01000004.1    -         nhaA-I               RF03057    cm        1       55   237733   237683      -    no    1 0.51   0.0   46.0    0.0016 !   Acinetobacter chengduensis strain WCHAc060005 4, whole genome shotgun sequence
NZ_JACHOP010000013.1 -         nhaA-I               RF03057    cm        1       55    65522    65577      +    no    1 0.79   1.0   46.0    0.0017 !   Methylorubrum rhodinum strain DSM 2163 Ga0373200_13, whole genome shotgun sequence
NZ_VFPV01000003.1    -         nhaA-I               RF03057    cm        1       55   594757   594808      +    no    1 0.67   0.0   46.0    0.0017 !   Acidovorax temperans strain DSM 7270 Ga0242573_13, whole genome shotgun sequence
NZ_QJUJ01000007.1    -         nhaA-I               RF03057    cm        1       55    23206    23263      +    no    1 0.62   0.0   45.9    0.0017 !   Pseudomonas daroniae strain P18A NODE_7_length_280377_cov_47.682141, whole genome shotgun sequence
NZ_SGXC01000001.1    -         nhaA-I               RF03057    cm        1       55  2569851  2569907      +    no    1 0.72   0.1   45.9    0.0017 !   Pigmentiphaga kullae strain K24 Ga0310531_11, whole genome shotgun sequence
NZ_CP034036.1        -         nhaA-I               RF03057    cm        1       55  3203319  3203259      -    no    1 0.61   0.0   45.9    0.0017 !   Brenneria nigrifluens DSM 30175 = ATCC 13028 chromosome, complete genome
NZ_FORC01000004.1    -         nhaA-I               RF03057    cm        1       55    99506    99563      +    no    1 0.69   0.0   45.8    0.0018 !   Pseudomonas argentinensis strain LMG 22563, whole genome shotgun sequence
NZ_CP077097.1        -         nhaA-I               RF03057    cm        1       55  2411515  2411453      -    no    1 0.65   0.0   45.8    0.0018 !   Pseudomonas anuradhapurensis strain RD8MR3 chromosome, complete genome
NZ_JAENGP010000024.1 -         nhaA-I               RF03057    cm        1       55    29561    29619      +    no    1 0.58   0.0   45.8    0.0018 !   Advenella mandrilli strain WQ 585 Scaffold22_1, whole genome shotgun sequence
NZ_JABEQF010000005.1 -         nhaA-I               RF03057    cm        1       55   287868   287923      +    no    1 0.71   0.0   45.8    0.0019 !   Gluconacetobacter azotocaptans strain LMG 21311 contig00005, whole genome shotgun sequence
NZ_CP067086.1        -         nhaA-I               RF03057    cm        1       55   301770   301833      +    no    1 0.70   0.0   45.7    0.0019 !   Comamonas testosteroni strain G1 chromosome
NZ_JABJVV010000023.1 -         nhaA-I               RF03057    cm        1       55    51763    51815      +    no    1 0.58   0.0   45.7    0.0019 !   Caenimonas soli strain S4 contig23, whole genome shotgun sequence
NZ_BPQE01000013.1    -         nhaA-I               RF03057    cm        1       55    29725    29670      -    no    1 0.82   4.9   45.7    0.0019 !   Methylobacterium aerolatum strain DSM 19013 entry13, whole genome shotgun sequence
NZ_FOMO01000003.1    -         nhaA-I               RF03057    cm        1       55   130646   130704      +    no    1 0.73   0.0   45.7    0.0019 !   Pseudomonas straminea strain JCM 2783, whole genome shotgun sequence
NZ_CP060714.1        -         nhaA-I               RF03057    cm        1       55  5029315  5029253      -    no    1 0.71   0.0   45.7    0.0019 !   Diaphorobacter ruginosibacter strain DSM 27467 chromosome, complete genome
NZ_CP022203.1        -         nhaA-I               RF03057    cm        1       55  2179471  2179416      -    no    1 0.73   0.1   45.7    0.0019 !   Corallococcus macrosporus DSM 14697 chromosome, complete genome
NZ_CP043046.1        -         nhaA-I               RF03057    cm        1       55  1161193  1161250      +    no    1 0.71   0.0   45.7    0.0019 !   Pigmentiphaga aceris strain Mada1488 chromosome, complete genome
