#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         nhaA-I               RF03057    cm        1       55     2831     2779      -    no    1 0.75   0.1   62.7   4.5e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
VGTB01000002.1       -         nhaA-I               RF03057    cm        1       55    10254    10204      -    no    1 0.55   0.0   47.5    0.0022 !   Deltaproteobacteria bacterium isolate M_DeepCast_400m_m1_009 M_DeepCast_400m_m1_009_Ga0194112_10000346, whole genome shotgun sequence
DDTA01000251.1       -         nhaA-I               RF03057    cm        1       55    18197    18245      +    no    1 0.73   0.0   47.4    0.0022 !   TPA_asm: Myxococcales bacterium UBA2376 UBA2376_contig_1499, whole genome shotgun sequence
LNEU01000016.1       -         nhaA-I               RF03057    cm        1       55   172221   172166      -    no    1 0.62   0.0   47.4    0.0022 !   Burkholderiales bacterium Ga0077544 Ga0077544_115.1, whole genome shotgun sequence
MGTV01000008.1       -         nhaA-I               RF03057    cm        1       55    17092    17138      +    no    1 0.68   0.0   47.4    0.0022 !   Elusimicrobia bacterium GWA2_62_23 gwa2_scaffold_118, whole genome shotgun sequence
NZ_FOSV01000001.1    -         nhaA-I               RF03057    cm        1       55   584369   584314      -    no    1 0.79   1.9   47.4    0.0022 !   Methylorubrum salsuginis strain CGMCC 1.6474, whole genome shotgun sequence
NZ_BMPO01000001.1    -         nhaA-I               RF03057    cm        1       55   219031   219090      +    no    1 0.62   0.0   47.4    0.0022 !   Pseudomonas matsuisoli strain JCM 30078 sequence01, whole genome shotgun sequence
NZ_FMTP01000001.1    -         nhaA-I               RF03057    cm        1       55    52765    52819      +    no    1 0.64   0.0   47.4    0.0022 !   Ancylobacter rudongensis strain CGMCC 1.1761, whole genome shotgun sequence
MGUK01000064.1       -         nhaA-I               RF03057    cm        1       55     6236     6281      +    no    1 0.67   0.0   47.4    0.0022 !   Elusimicrobia bacterium GWF2_62_30 gwf2_scaffold_4153, whole genome shotgun sequence
JADGCS010000016.1    -         nhaA-I               RF03057    cm        1       55    17647    17599      -    no    1 0.61   0.0   47.4    0.0023 !   Deltaproteobacteria bacterium isolate nXXbin1 nXX_bin1_NODE_16_length_53459_cov_4.814595, whole genome shotgun sequence
DCVI01000017.1       -         nhaA-I               RF03057    cm        1       55    21824    21775      -    no    1 0.62   0.0   47.4    0.0023 !   TPA_asm: Syntrophaceae bacterium UBA2192 UBA2192_contig_4493, whole genome shotgun sequence
NZ_ATGG01000060.1    -         nhaA-I               RF03057    cm        1       55     9481     9533      +    no    1 0.47   0.0   47.4    0.0023 !   Acinetobacter gyllenbergii CIP 110306 acVBN-supercont1.60, whole genome shotgun sequence
NZ_LXUK01000022.1    -         nhaA-I               RF03057    cm        1       55   119064   119116      +    no    1 0.47   0.0   47.4    0.0023 !   Acinetobacter sp. Ac_5812 contig_3, whole genome shotgun sequence
NZ_RYFW01000004.1    -         nhaA-I               RF03057    cm        1       55   427227   427173      -    no    1 0.75   0.0   47.4    0.0023 !   Steroidobacter agariperforans strain KA5-B Scaffold4_1, whole genome shotgun sequence
NZ_KZ477996.1        -         nhaA-I               RF03057    cm        1       55   132600   132538      -    no    1 0.60   0.0   47.4    0.0023 !   Pseudomonas fluorescens strain PfR 37 scf_19449_12, whole genome shotgun sequence
NZ_CP054840.1        -         nhaA-I               RF03057    cm        1       55  3911751  3911802      +    no    1 0.65   0.0   47.4    0.0023 !   Acidovorax antarcticus strain 16-35-5 chromosome, complete genome
CU207211.1           -         nhaA-I               RF03057    cm        1       55  2454969  2455025      +    no    1 0.63   0.0   47.4    0.0023 !   Herminiimonas arsenicoxydans chromosome, complete sequence
VGRY01000056.1       -         nhaA-I               RF03057    cm        1       55    21488    21551      +    no    1 0.48   0.0   47.3    0.0023 !   Deltaproteobacteria bacterium isolate K_DeepCast_100m_mx_276 K_DeepCast_100m_mx_276_Ga0194127_10001916, whole genome shotgun sequence
NZ_JACIDB010000007.1 -         nhaA-I               RF03057    cm        1       55    19018    19070      +    no    1 0.72   0.0   47.3    0.0023 !   Sphingomonas aquatilis strain DSM 15581 Ga0373217_07, whole genome shotgun sequence
BDLO01000001.1       -         nhaA-I               RF03057    cm        1       55  1587947  1587896      -    no    1 0.71   0.0   47.3    0.0024 !   Coriobacteriaceae bacterium EMTCatB1 DNA, scaffold1, whole genome shotgun sequence
NZ_CP030048.1        -         nhaA-I               RF03057    cm        1       55  4755640  4755588      -    no    1 0.68   0.0   47.3    0.0024 !   Bradyrhizobium sp. CCBAU 53338 chromosome, complete genome
JACRDN010000019.1    -         nhaA-I               RF03057    cm        1       55   521695   521750      +    no    1 0.68   0.0   47.3    0.0024 !   Elusimicrobia bacterium isolate NC_groundwater_1673_Pr3_B-0.1um_62_22 SR-2_scaffold_141_3832553, whole genome shotgun sequence
VHCG01000012.1       -         nhaA-I               RF03057    cm        1       55    58739    58793      +    no    1 0.60   0.0   47.3    0.0024 !   Verrucomicrobia bacterium isolate K_DeepCast_0m_m1_144 K_DeepCast_0m_m1_144_Ga0194124_10000320, whole genome shotgun sequence
NZ_CP060783.1        -         nhaA-I               RF03057    cm        1       55  3392758  3392696      -    no    1 0.71   0.1   47.3    0.0024 !   Diaphorobacter aerolatus strain KACC 16536 chromosome, complete genome
PEWV01000005.1       -         nhaA-I               RF03057    cm        1       55     2169     2224      +    no    1 0.46   0.0   47.3    0.0024 !   Candidatus Omnitrophica bacterium CG07_land_8_20_14_0_80_42_15 CG07_land_8_20_14_0.80_scaffold_419_c, whole genome shotgun sequence
JAFGLS010000051.1    -         nhaA-I               RF03057    cm        1       55    12719    12772      +    no    1 0.52   0.0   47.3    0.0025 !   Syntrophaceae bacterium isolate Zod_Metabat.41 k87_2392585, whole genome shotgun sequence
MHGP01000087.1       -         nhaA-I               RF03057    cm        1       55     5395     5452      +    no    1 0.59   0.0   47.2    0.0025 !   Omnitrophica WOR_2 bacterium RIFCSPHIGHO2_02_FULL_48_11 rifcsphigho2_02_scaffold_8323, whole genome shotgun sequence
RFPX01000098.1       -         nhaA-I               RF03057    cm        1       55      188      240      +    no    1 0.60   0.0   47.2    0.0025 !   Betaproteobacteria bacterium isolate WB4_1_0978 contig_100_97, whole genome shotgun sequence
CADCTD010000149.1    -         nhaA-I               RF03057    cm        1       55    30235    30179      -    no    1 0.74   0.2   47.2    0.0025 !   uncultured Craurococcus sp. isolate AVDCRST_MAG27 genome assembly, contig: NODE49, whole genome shotgun sequence
NZ_BCZP01000017.1    -         nhaA-I               RF03057    cm        1       55    75640    75701      +    no    1 0.71   0.0   47.2    0.0025 !   Delftia acidovorans NBRC 14950, whole genome shotgun sequence
NZ_BCTO01000096.1    -         nhaA-I               RF03057    cm        1       55    18358    18297      -    no    1 0.71   0.0   47.2    0.0025 !   Delftia tsuruhatensis NBRC 16741, whole genome shotgun sequence
CP031729.1           -         nhaA-I               RF03057    cm        1       55  3485305  3485366      +    no    1 0.60   0.0   47.2    0.0025 !   Stenotrophomonas rhizophila strain GA1 chromosome, complete genome
NZ_NEHW01000015.1    -         nhaA-I               RF03057    cm        1       55   109430   109491      +    no    1 0.60   0.0   47.2    0.0025 !   Pseudomonas sp. R28(2017) R28_15, whole genome shotgun sequence
NZ_BCBA01000047.1    -         nhaA-I               RF03057    cm        1       55    88068    88129      +    no    1 0.60   0.0   47.2    0.0025 !   Pseudomonas sp. NBRC 111124, whole genome shotgun sequence
DCOU01000044.1       -         nhaA-I               RF03057    cm        1       55     4477     4426      -    no    1 0.50   0.0   47.2    0.0025 !   TPA_asm: Candidatus Omnitrophica bacterium UBA1562 UBA1562_contig_24437, whole genome shotgun sequence
PDZT01000220.1       -         nhaA-I               RF03057    cm        1       55     1465     1517      +    no    1 0.42   0.0   47.2    0.0026 !   Deltaproteobacteria bacterium YD0425bin50 scaffold2125, whole genome shotgun sequence
NZ_CP043311.1        -         nhaA-I               RF03057    cm        1       55  3087568  3087624      +    no    1 0.67   0.0   47.2    0.0026 !   Pseudomonas lalkuanensis strain PE08 chromosome, complete genome
JAGOSC010000022.1    -         nhaA-I               RF03057    cm        1       55    13167    13115      -    no    1 0.53   0.0   47.2    0.0026 !   Candidatus Omnitrophica bacterium isolate Gw_Eff_bin_307 Gw_Eff_1677_length_40048_cov_5.464142, whole genome shotgun sequence
JADQBG010000008.1    -         nhaA-I               RF03057    cm        1       55    48662    48608      -    no    1 0.71   0.0   47.1    0.0026 !   Actinobacteria bacterium isolate Soudan_30 NODE_104_length_119677_cov_15.526667, whole genome shotgun sequence
JADJGV010000011.1    -         nhaA-I               RF03057    cm        1       55    59636    59587      -    no    1 0.78   0.2   47.1    0.0026 !   Myxococcales bacterium isolate Damh_18-Q3-R51-60_BATAC.454 tig00001369-10-3297660, whole genome shotgun sequence
NC_009675.1          -         nhaA-I               RF03057    cm        1       55  4460952  4461011      +    no    1 0.80   1.7   47.1    0.0026 !   Anaeromyxobacter sp. Fw109-5, complete sequence
NZ_RZUL01000006.1    -         nhaA-I               RF03057    cm        1       55   116013   116070      +    no    1 0.66   0.0   47.1    0.0026 !   Sphingobium algorifonticola strain TLA-22 NODE_6_length_164963_cov_82, whole genome shotgun sequence
NZ_JACORU010000003.1 -         nhaA-I               RF03057    cm        1       55    34007    34060      +    no    1 0.81   1.6   47.1    0.0027 !   Ramlibacter sp. GTP1 contig3, whole genome shotgun sequence
NZ_VTTH01000001.1    -         nhaA-I               RF03057    cm        1       55   653499   653556      +    no    1 0.69   0.0   47.1    0.0027 !   Lacisediminimonas profundi strain CHu64-6-4 Scaffold1_1, whole genome shotgun sequence
NZ_CP062167.1        -         nhaA-I               RF03057    cm        1       55  2260375  2260434      +    no    1 0.65   0.0   47.1    0.0027 !   Aureimonas sp. OT7 chromosome, complete genome
NZ_CP016634.1        -         nhaA-I               RF03057    cm        1       55  1039659  1039597      -    no    1 0.67   0.0   47.1    0.0027 !   Pseudomonas putida strain IEC33019 chromosome, complete genome
DBTW01000189.1       -         nhaA-I               RF03057    cm        1       55     7969     8018      +    no    1 0.66   0.0   47.1    0.0027 !   TPA_asm: Spirochaetaceae bacterium UBA1306 UBA1306_contig_4349, whole genome shotgun sequence
JAHIVV010000015.1    -         nhaA-I               RF03057    cm        1       55     3758     3708      -    no    1 0.49   0.0   47.1    0.0027 !   MAG: Elusimicrobia bacterium isolate MM_PC_MetaG.mb.97 MM_PC_MetaG.mb.97_k141_305502, whole genome shotgun sequence
NZ_VZZK01000047.1    -         nhaA-I               RF03057    cm        1       55    34191    34248      +    no    1 0.78   1.0   47.1    0.0027 !   Methylobacterium soli strain YIM 48816 Scaffold47, whole genome shotgun sequence
JACQWV010000083.1    -         nhaA-I               RF03057    cm        1       55     1530     1475      -    no    1 0.54   0.0   47.1    0.0028 !   Elusimicrobia bacterium isolate NC_groundwater_1498_Pr4_B-0.1um_45_12 SR1-18-B1_scaffold_249228, whole genome shotgun sequence
JACRMN010000011.1    -         nhaA-I               RF03057    cm        1       55   112703   112758      +    no    1 0.68   0.0   47.0    0.0028 !   Deltaproteobacteria bacterium isolate NC_groundwater_1908_Pr3_S2p5_74_37 SR2-18-S2p5_coassembly_scaffold_124053, whole genome shotgun sequence
SECP01000011.1       -         nhaA-I               RF03057    cm        1       55   100604   100558      -    no    1 0.68   0.0   47.0    0.0028 !   Myxococcales bacterium isolate PMG_095 scaffold_109, whole genome shotgun sequence
JACOUT010000012.1    -         nhaA-I               RF03057    cm        1       55   134789   134834      +    no    1 0.83   1.0   47.0    0.0028 !   Deltaproteobacteria bacterium isolate NC_groundwater_80_Ag_B-0.1um_71_39 GD18-4_B1_scaffold_601542, whole genome shotgun sequence
NZ_JABTYE010000008.1 -         nhaA-I               RF03057    cm        1       55    53953    54003      +    no    1 0.73   0.0   47.0    0.0029 !   Cupriavidus gilardii strain USM5 USM5_assembled_contig_8, whole genome shotgun sequence
NZ_SCML01000027.1    -         nhaA-I               RF03057    cm        1       55    73497    73554      +    no    1 0.71   0.0   46.9    0.0029 !   Hydrogenophaga sp. 2FB NODE_27_length_85049_cov_18.654399, whole genome shotgun sequence
JAFKGG010000065.1    -         nhaA-I               RF03057    cm        1       55     1052      997      -    no    1 0.68   0.0   46.9     0.003 !   Burkholderiales bacterium isolate SCN18_13_7_16_R4_B_66_10 SCN18_13_7_16_R4_B_scaffold_4443, whole genome shotgun sequence
NZ_SDQC01000005.1    -         nhaA-I               RF03057    cm        1       55   271760   271705      -    no    1 0.71   0.0   46.9     0.003 !   Pusillimonas soli strain KCTC 22455 NODE_5_length_329123_cov_53.664425, whole genome shotgun sequence
NZ_JACBYV010000001.1 -         nhaA-I               RF03057    cm        1       55  2795557  2795499      -    no    1 0.71   0.0   46.9     0.003 !   Pseudomonas flavescens strain BIGb0408 Ga0373775_01, whole genome shotgun sequence
MWDT01000031.1       -         nhaA-I               RF03057    cm        1       55     9152     9203      +    no    1 0.63   0.0   46.9     0.003 !   Verrucomicrobia bacterium ADurb.Bin122 BWX86_contig000031, whole genome shotgun sequence
NZ_FNDG01000014.1    -         nhaA-I               RF03057    cm        1       55   106458   106516      +    no    1 0.73   0.0   46.9    0.0031 !   Pseudomonas flavescens strain LMG 18387, whole genome shotgun sequence
NZ_CP009747.1        -         nhaA-I               RF03057    cm        1       55  4358326  4358267      -    no    1 0.65   0.0   46.9    0.0031 !   Pseudomonas parafulva strain CRS01-1 chromosome, complete genome
NZ_CP048030.1        -         nhaA-I               RF03057    cm        1       55  1599460  1599409      -    no    1 0.77   0.4   46.8    0.0031 !   Sinimarinibacterium sp. NLF-5-8 chromosome, complete genome
NZ_WLYL01000059.1    -         nhaA-I               RF03057    cm        1       55     2951     2901      -    no    1 0.51   0.0   46.8    0.0031 !   Acinetobacter sp. YIM 103518 Scaffold59_1, whole genome shotgun sequence
NZ_JPQU01000023.1    -         nhaA-I               RF03057    cm        1       55   157446   157385      -    no    1 0.60   0.0   46.8    0.0031 !   Pseudomonas syringae strain GAW0119 contig23.1, whole genome shotgun sequence
NZ_BJNF01000067.1    -         nhaA-I               RF03057    cm        1       55    19174    19122      -    no    1 0.70   0.0   46.8    0.0031 !   Nitrobacter winogradskyi strain NBRC 14297 sequence067, whole genome shotgun sequence
NZ_NESI01000006.1    -         nhaA-I               RF03057    cm        1       55    76404    76451      +    no    1 0.58   0.0   46.8    0.0031 !   Limnohabitans sp. B9-3 LimA-B9-3-C6, whole genome shotgun sequence
DDTA01000251.1       -         nhaA-I               RF03057    cm        1       55    17118    17068      -    no    1 0.75   0.0   46.8    0.0032 !   TPA_asm: Myxococcales bacterium UBA2376 UBA2376_contig_1499, whole genome shotgun sequence
NZ_JYLM01000001.1    -         nhaA-I               RF03057    cm        1       55   772458   772396      -    no    1 0.60   0.0   46.8    0.0032 !   Pseudomonas orientalis strain DSM 17489 1_1019307_14.5664, whole genome shotgun sequence
MGTZ01000028.1       -         nhaA-I               RF03057    cm        1       55    75124    75170      +    no    1 0.68   0.0   46.8    0.0032 !   Elusimicrobia bacterium GWB2_63_16 gwb2_scaffold_274, whole genome shotgun sequence
JADJLP010000001.1    -         nhaA-I               RF03057    cm        1       55    25600    25545      -    no    1 0.71   0.1   46.8    0.0032 !   Burkholderiales bacterium isolate EsbW_18-Q3-R4-48_BAT3C.207 tig00000406-10-18338610, whole genome shotgun sequence
NZ_JACOFW010000004.1 -         nhaA-I               RF03057    cm        1       55   119807   119859      +    no    1 0.64   0.0   46.8    0.0032 !   Undibacterium seohonense strain KACC 16656 4, whole genome shotgun sequence
NZ_JAGINK010000001.1 -         nhaA-I               RF03057    cm        1       55  3986185  3986126      -    no    1 0.68   0.0   46.8    0.0032 !   Pseudomonas sp. BP8 Ga0436259_01, whole genome shotgun sequence
NZ_JAEUXJ010000033.1 -         nhaA-I               RF03057    cm        1       55     6206     6152      -    no    1 0.75   0.1   46.8    0.0032 !   Belnapia sp. T6 NODE_33_length_28962_cov_279.603393, whole genome shotgun sequence
NZ_NEJR01000002.1    -         nhaA-I               RF03057    cm        1       55    87535    87597      +    no    1 0.65   0.0   46.8    0.0032 !   Pseudomonas sp. B19(2017) B19_2, whole genome shotgun sequence
NZ_KE340379.1        -         nhaA-I               RF03057    cm        1       55   421651   421701      +    no    1 0.49   0.0   46.8    0.0032 !   Acinetobacter colistiniresistens strain NIPH 2036 acVBK-supercont1.4, whole genome shotgun sequence
JACRIM010000039.1    -         nhaA-I               RF03057    cm        1       55    63883    63831      -    no    1 0.62   0.0   46.8    0.0032 !   Planctomycetes bacterium isolate NC_groundwater_1803_Pr3_B-0.1um_60_64 SR-2_scaffold_141_2645074, whole genome shotgun sequence
NZ_LK391969.1        -         nhaA-I               RF03057    cm        1       55  1355731  1355788      +    no    1 0.57   0.0   46.7    0.0033 !   Pseudomonas saudimassiliensis strain 12M76_air
MHDQ01000235.1       -         nhaA-I               RF03057    cm        1       55     6587     6526      -    no    1 0.42   0.0   46.7    0.0033 !   Nitrospinae bacterium RIFCSPLOWO2_12_FULL_45_22 rifcsplowo2_12_scaffold_43551, whole genome shotgun sequence
MHFR01000063.1       -         nhaA-I               RF03057    cm        1       55    63856    63909      +    no    1 0.61   0.0   46.7    0.0033 !   Omnitrophica bacterium RIFCSPLOWO2_12_FULL_44_17 rifcsplowo2_12_scaffold_820, whole genome shotgun sequence
NZ_VFNT01000001.1    -         nhaA-I               RF03057    cm        1       55   622372   622425      +    no    1 0.74   0.3   46.7    0.0033 !   Nocardioides sp. SLBN-35 strain NO-1 Ga0314632_11, whole genome shotgun sequence
NZ_BMCT01000001.1    -         nhaA-I               RF03057    cm        1       55  1106459  1106403      -    no    1 0.63   0.0   46.7    0.0033 !   Azorhizobium oxalatiphilum strain CCM 7897 sequence01, whole genome shotgun sequence
DCDI01000179.1       -         nhaA-I               RF03057    cm        1       55     5972     5918      -    no    1 0.64   0.0   46.7    0.0033 !   MAG TPA_asm: Phyllobacteriaceae bacterium UBA1059 UBA1059_contig_2603, whole genome shotgun sequence
JABFXY010000157.1    -         nhaA-I               RF03057    cm        1       55    34795    34852      +    no    1 0.69   0.0   46.7    0.0033 !   Polyangiaceae bacterium isolate Bin8.16 NODE_315_length_37515_cov_4.422571, whole genome shotgun sequence
NZ_AP012547.1        -         nhaA-I               RF03057    cm        1       55  1793594  1793654      +    no    1 0.56   0.0   46.7    0.0033 !   Sulfuritalea hydrogenivorans sk43H strain DSM 22779 chromosome, complete genome
NZ_VSSR01000037.1    -         nhaA-I               RF03057    cm        1       55    73959    73907      -    no    1 0.70   0.0   46.7    0.0033 !   Bradyrhizobium cytisi strain CTAW11 CTAW11_S1_R1__contig_38, whole genome shotgun sequence
NZ_CP067102.1        -         nhaA-I               RF03057    cm        1       55  5201012  5200960      -    no    1 0.70   0.0   46.7    0.0033 !   Bradyrhizobium diazoefficiens strain 36_1 chromosome, complete genome
NZ_AXAY01000011.1    -         nhaA-I               RF03057    cm        1       55    54595    54647      +    no    1 0.70   0.0   46.7    0.0033 !   Bradyrhizobium sp. WSM3983 YUADRAFT_scaffold_10.11_C, whole genome shotgun sequence
NZ_KB850122.1        -         nhaA-I               RF03057    cm        1       55  1386630  1386580      -    no    1 0.51   0.0   46.7    0.0034 !   Acinetobacter sp. CIP 64.2 acLsy-supercont1.5, whole genome shotgun sequence
NZ_SNZR01000011.1    -         nhaA-I               RF03057    cm        1       55   209441   209493      +    no    1 0.74   0.2   46.7    0.0034 !   Enterovirga rhinocerotis strain DSM 25903 Ga0310539_101, whole genome shotgun sequence
JAFAOU010000057.1    -         nhaA-I               RF03057    cm        1       55     6966     6915      -    no    1 0.73   0.0   46.7    0.0034 !   MAG: Acidobacteria bacterium isolate CP_BM_ER_20 BM_ER_k147_3160513, whole genome shotgun sequence
DMTA01000547.1       -         nhaA-I               RF03057    cm        1       55     9902     9846      -    no    1 0.72   0.0   46.7    0.0034 !   TPA_asm: Achromobacter sp. isolate UBA8433 contig_1197, whole genome shotgun sequence
NZ_CADIJM010000006.1 -         nhaA-I               RF03057    cm        1       55    71641    71585      -    no    1 0.72   0.0   46.7    0.0034 !   Achromobacter animicus strain LMG 26690 isolate LMG 26690, whole genome shotgun sequence
JAEUHA010000398.1    -         nhaA-I               RF03057    cm        1       55     1043     1094      +    no    1 0.67   0.0   46.7    0.0034 !   Opitutaceae bacterium isolate new MAG-5 k141_4209699, whole genome shotgun sequence
NZ_BMZN01000004.1    -         nhaA-I               RF03057    cm        1       55   321823   321887      +    no    1 0.54   0.0   46.7    0.0034 !   Alcaligenes pakistanensis strain KCTC 42083 sequence04, whole genome shotgun sequence
NZ_JAFVIM010000018.1 -         nhaA-I               RF03057    cm        1       55    69722    69669      -    no    1 0.72   0.0   46.6    0.0035 !   Massilia oculi strain HYUMC2021 contig18, whole genome shotgun sequence
JADJZE010000021.1    -         nhaA-I               RF03057    cm        1       55   404045   404099      +    no    1 0.67   0.0   46.6    0.0035 !   Burkholderiales bacterium isolate Lyne_18-Q3-R50-59_MAXAC.018 tig00321120-10-8711220, whole genome shotgun sequence
DCVM01000031.1       -         nhaA-I               RF03057    cm        1       55    63821    63760      -    no    1 0.47   0.0   46.6    0.0035 !   TPA_asm: Syntrophaceae bacterium UBA2188 UBA2188_contig_2739, whole genome shotgun sequence
NZ_JAFCME010000001.1 -         nhaA-I               RF03057    cm        1       55    20434    20487      +    no    1 0.69   0.0   46.6    0.0035 !   Bradyrhizobium sp. AUGA SZCCT0158 NODE_1, whole genome shotgun sequence
JACOUT010000018.1    -         nhaA-I               RF03057    cm        1       55   112123   112168      +    no    1 0.74   0.0   46.6    0.0035 !   Deltaproteobacteria bacterium isolate NC_groundwater_80_Ag_B-0.1um_71_39 GD18-4_B1_scaffold_1455463, whole genome shotgun sequence
NZ_NISI01000001.1    -         nhaA-I               RF03057    cm        1       55   485871   485820      -    no    1 0.79   0.5   46.6    0.0035 !   Pelomonas puraquae strain CCUG 52769 Scaffold1_1, whole genome shotgun sequence
JAFGJR010000329.1    -         nhaA-I               RF03057    cm        1       55    33272    33217      -    no    1 0.68   0.0   46.6    0.0035 !   Sedimentisphaerales bacterium isolate Zod_Metabat.289 k87_13984164, whole genome shotgun sequence
NZ_JACAOZ010000015.1 -         nhaA-I               RF03057    cm        1       55    80741    80680      -    no    1 0.58   0.0   46.6    0.0035 !   Pseudomonas edaphica strain B7002 run0228_B7002_S27_L005_contig_15, whole genome shotgun sequence
NZ_FNOX01000006.1    -         nhaA-I               RF03057    cm        1       55   115259   115198      -    no    1 0.58   0.0   46.6    0.0035 !   Pseudomonas salomonii strain ICMP 14252, whole genome shotgun sequence
QOQW01000010.1       -         nhaA-I               RF03057    cm        1       55    31351    31402      +    no    1 0.63   0.0   46.6    0.0035 !   Candidatus Ozemobacter sibiricus isolate BY5 NODE_80, whole genome shotgun sequence
NZ_CXOP01000001.1    -         nhaA-I               RF03057    cm        1       55   508264   508212      -    no    1 0.58   0.0   46.6    0.0036 !   Limnohabitans sp. 2KL-27, whole genome shotgun sequence
NZ_CP023667.1        -         nhaA-I               RF03057    cm        1       55  1242416  1242351      -    no    1 0.56   0.0   46.6    0.0036 !   Alcaligenes faecalis strain DSM 30030 chromosome, complete genome
NZ_CP031747.1        -         nhaA-I               RF03057    cm        1       55  3515867  3515932      +    no    1 0.56   0.0   46.6    0.0036 !   Alcaligenes faecalis strain AU14 chromosome
JAFLEG010000175.1    -         nhaA-I               RF03057    cm        1       55     2326     2272      -    no    1 0.69   0.0   46.6    0.0036 !   Verrucomicrobia bacterium isolate UWPOB_VERRUCO1 gnl_X_JEIBJCKH_175, whole genome shotgun sequence
JABLXY010000002.1    -         nhaA-I               RF03057    cm        1       55   672593   672643      +    no    1 0.73   0.0   46.6    0.0036 !   Syntrophaceae bacterium isolate Ch3 Scaffold3, whole genome shotgun sequence
NZ_JAELTO010000093.1 -         nhaA-I               RF03057    cm        1       55     7744     7800      +    no    1 0.68   0.4   46.6    0.0036 !   Xylophilus sp. ASV27 NODE_93_length_18092_cov_26.680379, whole genome shotgun sequence
NZ_JAFCKB010000006.1 -         nhaA-I               RF03057    cm        1       55   205995   206047      +    no    1 0.70   0.0   46.6    0.0036 !   Bradyrhizobium manausense strain SZCCT0344 NODE_6, whole genome shotgun sequence
NZ_JAANIH010000004.1 -         nhaA-I               RF03057    cm        1       55   167625   167677      +    no    1 0.70   0.0   46.6    0.0036 !   Bradyrhizobium campsiandrae strain INPA 394B NODE_4_length_230651_cov_12.542642, whole genome shotgun sequence
NZ_CP041656.1        -         nhaA-I               RF03057    cm        1       55  5564972  5565024      +    no    1 0.70   0.0   46.6    0.0036 !   Bradyrhizobium cosmicum strain 58S1 chromosome, complete genome
NZ_CP044543.1        -         nhaA-I               RF03057    cm        1       55   664037   663985      -    no    1 0.70   0.0   46.6    0.0036 !   Bradyrhizobium betae strain PL7HG1 chromosome, complete genome
NZ_LMKN01000009.1    -         nhaA-I               RF03057    cm        1       55    66108    66057      -    no    1 0.67   0.0   46.6    0.0036 !   Sphingomonas sp. Leaf20 contig_3, whole genome shotgun sequence
JAFEFC010000005.1    -         nhaA-I               RF03057    cm        1       55    21545    21488      -    no    1 0.69   0.0   46.6    0.0036 !   Proteobacteria bacterium isolate SZAS KAN-75 PROT-KAN-6__5__length-43637, whole genome shotgun sequence
VEQC01000040.1       -         nhaA-I               RF03057    cm        1       55     4885     4936      +    no    1 0.63   0.0   46.5    0.0037 !   MAG: Limnohabitans sp. isolate ZLKRG03 NODE_3635_length_15504_cov_3.244456, whole genome shotgun sequence
DDTH01000006.1       -         nhaA-I               RF03057    cm        1       55   632498   632547      +    no    1 0.72   0.0   46.5    0.0037 !   TPA_asm: Sphingomonadales bacterium UBA2369 UBA2369_contig_1533, whole genome shotgun sequence
NZ_JACHKR010000002.1 -         nhaA-I               RF03057    cm        1       55   237435   237383      -    no    1 0.66   0.0   46.5    0.0037 !   Acidovorax konjaci strain S00067 Ga0436291_02, whole genome shotgun sequence
DGBN01000016.1       -         nhaA-I               RF03057    cm        1       55    25500    25446      -    no    1 0.65   0.0   46.5    0.0037 !   TPA_asm: Oxalobacteraceae bacterium UBA4003 UBA4003_contig_23361, whole genome shotgun sequence
NZ_RCVT01000002.1    -         nhaA-I               RF03057    cm        1       55   562202   562147      -    no    1 0.73   0.4   46.5    0.0037 !   Sphingomonas sp. MA1305 2, whole genome shotgun sequence
DBMS01000100.1       -         nhaA-I               RF03057    cm        1       55     7213     7261      +    no    1 0.65   0.0   46.5    0.0037 !   TPA_asm: Holophagaceae bacterium UBA692 UBA692_contig_1237, whole genome shotgun sequence
NZ_BMCG01000005.1    -         nhaA-I               RF03057    cm        1       55   182594   182537      -    no    1 0.67   0.0   46.5    0.0037 !   Oxalicibacterium flavum strain CCM 7086 sequence5, whole genome shotgun sequence
MGTS01000012.1       -         nhaA-I               RF03057    cm        1       55   107344   107296      -    no    1 0.69   0.0   46.5    0.0037 !   Elusimicrobia bacterium GWA2_51_34 gwa2_scaffold_159, whole genome shotgun sequence
NZ_WJBU01000011.1    -         nhaA-I               RF03057    cm        1       55   157425   157372      -    no    1 0.74   0.0   46.5    0.0037 !   Caenimonas koreensis DSM 17982 strain EMB320 Scaffold9_1, whole genome shotgun sequence
NZ_FQUZ01000029.1    -         nhaA-I               RF03057    cm        1       55     2918     2862      -    no    1 0.74   0.2   46.5    0.0037 !   Lampropedia hyalina DSM 16112, whole genome shotgun sequence
NZ_JNIJ01000093.1    -         nhaA-I               RF03057    cm        1       55     3732     3784      +    no    1 0.66   0.0   46.5    0.0038 !   Bradyrhizobium sp. URHD0069 N554DRAFT_scaffold00090.90_C, whole genome shotgun sequence
